School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
737399,Catholic,0,0,90,90,110,95,100,100
732133,Catholic,15,15,10,10,15,15,15,10
864218,Catholic,10,10,10,10,10,10,10,20
774332,Catholic,45,65,50,45,45,45,50,40
776602,Catholic,90,100,0,0,0,0,0,0
751464,Catholic,35,30,20,15,35,10,30,15
705098,Catholic,10,20,15,10,15,15,10,15
732800,Catholic,25,45,30,35,30,20,25,20
689610,Catholic,55,45,55,40,50,35,0,0
725542,Catholic,0,10,0,10,0,0,0,0
715131,Catholic,60,85,60,65,80,75,0,0
828203,Catholic,35,45,50,40,40,40,25,25
821553,Catholic,0,0,0,0,0,0,100,90
696269,Catholic,25,25,20,25,15,15,20,20
691127,Catholic,25,25,20,15,15,20,0,0
753670,Catholic,65,60,55,60,55,55,0,0
697630,Catholic,0,0,0,0,0,0,120,125
741361,Catholic,35,25,20,25,20,25,25,10
750646,Catholic,35,30,20,35,25,30,0,0
759040,Catholic,55,45,45,40,50,55,0,0
758787,Catholic,10,10,10,10,10,15,10,10
769312,Catholic,20,20,20,25,15,20,25,20
771651,Catholic,35,25,30,30,30,40,0,0
788686,Catholic,10,10,10,10,10,10,10,10
806102,Catholic,15,15,15,15,20,20,10,10
792365,Catholic,0,0,0,0,0,0,65,65
792322,Catholic,10,15,10,15,15,20,0,0
791938,Catholic,65,55,65,50,40,40,0,0
803022,Catholic,30,35,30,45,40,35,0,0
802700,Catholic,40,45,45,45,40,50,0,0
725374,Catholic,20,20,25,20,20,25,15,15
813907,Catholic,30,30,35,35,25,40,25,35
736201,Catholic,25,15,30,35,30,25,35,25
828726,Catholic,0,0,0,0,0,0,80,65
828980,Catholic,35,25,20,30,25,20,0,0
828874,Catholic,0,0,0,70,105,100,0,0
830283,Catholic,25,20,25,30,25,40,25,20
832502,Catholic,0,0,0,0,0,0,105,115
753602,Catholic,35,35,40,35,30,50,0,0
844713,Catholic,20,25,30,30,30,25,0,0
773450,Catholic,105,75,110,0,0,0,0,0
680764,Catholic,0,0,0,0,0,0,75,90
767431,Catholic,0,0,0,0,0,0,130,110
818968,Catholic,0,0,0,0,0,0,10,20
814555,Catholic,45,35,50,40,35,30,35,25
765428,Catholic,0,0,0,0,0,0,25,20
773026,Catholic,0,0,0,0,0,0,110,145
23549,Public,40,20,20,15,20,20,0,0
199761,Public,10,15,10,15,10,20,0,0
165468,Public,20,15,15,15,25,25,0,0
165409,Public,25,40,25,35,40,45,0,0
117382,Public,0,0,0,0,0,0,85,80
165204,Public,0,0,0,0,0,0,30,35
310415,Public,0,0,0,0,0,0,75,70
156167,Public,25,45,20,20,30,25,10,10
165441,Public,60,45,40,35,35,85,0,0
393396,Public,10,15,25,10,10,10,0,0
447621,Public,50,55,80,45,50,40,0,0
474256,Public,0,0,0,0,0,0,50,25
