School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
244791,2021-2022,Public,Elementary,30,25,15,25,40,25,40,30,0,0,0,0
916331,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,230,205,200,230
231533,2021-2022,Public,Elementary,40,60,65,45,70,55,55,75,0,0,0,0
259160,2021-2022,Public,Elementary,10,15,10,10,20,10,15,10,0,0,0,0
918423,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,425,405,370,390
280844,2021-2022,Public,Elementary,25,20,25,50,60,40,75,50,0,0,0,0
559271,2021-2022,Public,Elementary,75,90,70,85,105,95,70,80,0,0,0,0
283495,2021-2022,Public,Elementary,80,75,55,65,65,85,70,75,0,0,0,0
286095,2021-2022,Public,Elementary,45,45,45,50,50,50,50,55,0,0,0,0
446033,2021-2022,Public,Elementary,70,70,65,80,65,90,80,100,0,0,0,0
124745,2021-2022,Public,Elementary,40,40,35,40,45,25,45,35,0,0,0,0
304379,2021-2022,Public,Elementary,30,15,30,20,20,30,30,20,0,0,0,0
99872,2021-2022,Public,Elementary,30,35,25,20,30,30,25,25,0,0,0,0
311707,2021-2022,Public,Elementary,25,30,25,40,25,30,35,30,0,0,0,0
313050,2021-2022,Public,Elementary,35,30,40,30,35,35,40,45,0,0,0,0
312983,2021-2022,Public,Elementary,25,25,15,30,25,25,25,30,0,0,0,0
321176,2021-2022,Public,Elementary,20,15,15,15,15,15,15,15,0,0,0,0
328740,2021-2022,Public,Elementary,70,85,65,80,65,65,65,65,0,0,0,0
348503,2021-2022,Public,Elementary,30,15,20,25,15,20,15,10,0,0,0,0
932345,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,345,365,320,395
350508,2021-2022,Public,Elementary,45,50,40,35,50,50,50,50,0,0,0,0
356271,2021-2022,Public,Elementary,35,30,30,25,45,40,40,40,0,0,0,0
580847,2021-2022,Public,Elementary,45,50,45,55,55,45,45,55,0,0,0,0
450298,2021-2022,Public,Elementary,30,45,50,45,65,65,80,70,0,0,0,0
493816,2021-2022,Public,Elementary,65,65,75,65,70,50,75,65,0,0,0,0
394819,2021-2022,Public,Elementary,35,45,20,45,45,50,55,50,0,0,0,0
932329,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,305,305,315,320
425630,2021-2022,Public,Elementary,45,60,40,45,60,50,45,50,0,0,0,0
935310,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,400,445,405,420
443573,2021-2022,Public,Elementary,55,65,60,70,70,60,80,65,0,0,0,0
935360,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,260,220,245,245
936227,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,250,205,220,230
477303,2021-2022,Public,Elementary,30,25,30,25,35,30,25,30,0,0,0,0
458830,2021-2022,Public,Elementary,55,45,45,65,70,60,70,60,0,0,0,0
461423,2021-2022,Public,Elementary,30,35,35,35,40,35,40,45,0,0,0,0
463396,2021-2022,Public,Elementary,45,50,40,45,45,40,35,40,0,0,0,0
451177,2021-2022,Public,Elementary,65,50,60,70,60,75,65,65,0,0,0,0
937525,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,310,285,260,275
336001,2021-2022,Public,Elementary,25,45,30,35,45,40,50,50,0,0,0,0
489336,2021-2022,Public,Elementary,25,15,20,15,20,10,20,30,0,0,0,0
201258,2021-2022,Public,Elementary,30,35,30,40,40,50,55,55,0,0,0,0
490563,2021-2022,Public,Elementary,15,20,20,20,20,20,15,15,0,0,0,0
455037,2021-2022,Public,Elementary,25,20,25,30,30,25,30,10,0,0,0,0
509736,2021-2022,Public,Elementary,35,35,40,35,50,40,80,85,0,0,0,0
503720,2021-2022,Public,Elementary,25,30,35,35,25,40,35,30,0,0,0,0
197235,2021-2022,Public,Elementary,45,65,50,60,45,65,60,50,0,0,0,0
531049,2021-2022,Public,Elementary,35,35,55,45,50,45,40,35,0,0,0,0
941603,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,280,280,255,260
515523,2021-2022,Public,Elementary,35,30,35,40,35,35,35,35,0,0,0,0
520225,2021-2022,Public,Elementary,35,35,45,35,50,45,50,55,0,0,0,0
622044,2021-2022,Public,Elementary,40,30,35,40,30,55,40,50,0,0,0,0
526673,2021-2022,Public,Elementary,80,80,75,60,80,60,85,65,0,0,0,0
536512,2021-2022,Public,Elementary,40,35,45,45,35,40,50,50,0,0,0,0
542148,2021-2022,Public,Elementary,45,40,35,40,40,40,20,30,0,0,0,0
543861,2021-2022,Public,Elementary,50,60,55,65,35,60,40,45,0,0,0,0
551066,2021-2022,Public,Elementary,35,30,30,25,35,30,40,30,0,0,0,0
96270,2021-2022,Public,Elementary,15,15,20,15,15,15,15,10,0,0,0,0
566870,2021-2022,Public,Elementary,40,35,35,30,25,30,30,40,0,0,0,0
948969,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,245,250,275,265
569933,2021-2022,Public,Elementary,55,55,50,50,60,65,75,60,0,0,0,0
569216,2021-2022,Public,Elementary,20,30,40,25,30,20,30,30,0,0,0,0
570389,2021-2022,Public,Elementary,25,30,25,25,30,25,30,30,0,0,0,0
577049,2021-2022,Public,Elementary,35,35,30,20,35,35,30,25,0,0,0,0
92886,2021-2022,Public,Elementary,55,50,55,65,65,65,45,75,0,0,0,0
577669,2021-2022,Public,Elementary,50,45,45,50,55,55,50,55,0,0,0,0
309061,2021-2022,Public,Elementary,65,60,55,50,70,60,60,60,0,0,0,0
93700,2021-2022,Public,Elementary,60,50,50,60,55,55,50,65,0,0,0,0
590916,2021-2022,Public,Elementary,30,35,40,25,35,40,35,30,0,0,0,0
325635,2021-2022,Public,Elementary,50,45,50,40,45,45,45,45,0,0,0,0
598909,2021-2022,Public,Elementary,30,35,45,35,40,40,25,45,0,0,0,0
595535,2021-2022,Public,Elementary,30,30,20,40,35,30,25,30,0,0,0,0
171101,2021-2022,Public,Elementary,50,60,70,55,65,70,75,60,0,0,0,0
610704,2021-2022,Public,Elementary,45,45,40,65,55,70,80,65,0,0,0,0
525960,2021-2022,Public,Elementary,35,50,50,55,50,60,65,70,0,0,0,0
536150,2021-2022,Public,Elementary,25,25,25,20,30,35,20,20,0,0,0,0
614904,2021-2022,Public,Elementary,45,45,55,55,75,65,65,50,0,0,0,0
617440,2021-2022,Public,Elementary,20,35,30,35,25,25,30,40,0,0,0,0
438276,2021-2022,Public,Elementary,50,50,55,80,60,80,75,80,0,0,0,0
4758,2021-2022,Public,Elementary,45,45,45,30,25,55,40,35,0,0,0,0
31739,2021-2022,Public,Elementary,45,45,35,40,45,35,40,25,0,0,0,0
41807,2021-2022,Public,Elementary,15,20,20,20,15,15,20,25,0,0,0,0
521116,2021-2022,Public,Elementary,20,20,20,15,25,15,20,20,0,0,0,0
403466,2021-2022,Public,Elementary,15,15,20,20,25,20,15,30,0,0,0,0
34339,2021-2022,Public,Elementary,25,25,30,30,35,30,35,25,0,0,0,0
896187,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,245,235,255,335
62006,2021-2022,Public,Elementary,40,35,25,25,25,35,35,30,0,0,0,0
70254,2021-2022,Public,Elementary,45,40,40,60,55,30,20,45,0,0,0,0
75604,2021-2022,Public,Elementary,55,50,65,30,35,40,25,35,0,0,0,0
899046,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,125,125,120,155
89966,2021-2022,Public,Elementary,25,20,30,25,25,30,30,30,0,0,0,0
90077,2021-2022,Public,Elementary,20,15,15,55,65,60,15,20,0,0,0,0
90816,2021-2022,Public,Elementary,25,20,20,20,15,15,15,20,0,0,0,0
468064,2021-2022,Public,Elementary,70,45,55,60,60,65,65,70,0,0,0,0
192880,2021-2022,Public,Elementary,45,50,55,45,55,50,50,55,0,0,0,0
126306,2021-2022,Public,Elementary,15,20,20,20,20,20,15,25,0,0,0,0
903728,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,125,135,115,200
136441,2021-2022,Public,Elementary,35,45,30,40,40,40,35,45,0,0,0,0
151130,2021-2022,Public,Elementary,30,20,15,25,40,35,40,40,0,0,0,0
906069,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,80,60,70,130
558113,2021-2022,Public,Elementary,10,15,15,20,10,15,25,10,0,0,0,0
170372,2021-2022,Public,Elementary,40,45,40,35,15,20,20,25,0,0,0,0
220035,2021-2022,Public,Elementary,20,20,55,15,20,15,20,15,0,0,0,0
226017,2021-2022,Public,Elementary,40,45,15,10,15,15,0,0,0,0,0,0
891304,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,25
227056,2021-2022,Public,Elementary,15,15,15,10,15,20,85,85,0,0,0,0
229393,2021-2022,Public,Elementary,25,30,20,20,25,20,20,40,0,0,0,0
233706,2021-2022,Public,Elementary,20,35,25,25,25,35,20,30,0,0,0,0
915033,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,60,75,70,155
265608,2021-2022,Public,Elementary,25,20,30,25,35,25,20,30,0,0,0,0
280097,2021-2022,Public,Elementary,35,30,30,40,30,45,30,35,0,0,0,0
281263,2021-2022,Public,Elementary,30,20,25,30,25,30,40,35,0,0,0,0
282308,2021-2022,Public,Elementary,35,35,35,35,35,45,30,35,0,0,0,0
295434,2021-2022,Public,Elementary,30,25,25,20,20,25,35,30,0,0,0,0
145602,2021-2022,Public,Elementary,70,50,50,55,60,65,55,50,0,0,0,0
97314,2021-2022,Public,Elementary,20,15,15,20,25,20,25,20,0,0,0,0
308170,2021-2022,Public,Elementary,30,30,30,25,30,20,30,30,0,0,0,0
326259,2021-2022,Public,Elementary,35,45,50,35,55,40,55,35,0,0,0,0
329100,2021-2022,Public,Elementary,30,35,35,30,25,30,30,25,0,0,0,0
132010,2021-2022,Public,Elementary,35,30,40,40,40,45,40,40,0,0,0,0
898007,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,145,170,155,220
378372,2021-2022,Public,Elementary,20,30,30,30,25,25,25,20,0,0,0,0
930245,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,255,250,250,380
410225,2021-2022,Public,Elementary,40,45,40,40,40,40,40,55,0,0,0,0
502324,2021-2022,Public,Elementary,25,20,20,20,20,25,15,15,0,0,0,0
417505,2021-2022,Public,Elementary,25,20,25,20,25,30,25,25,0,0,0,0
97446,2021-2022,Public,Elementary,30,30,30,20,20,15,25,15,0,0,0,0
97578,2021-2022,Public,Elementary,15,20,15,20,15,40,40,30,0,0,0,0
933490,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,195,200,210,280
934402,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,195,180,175,295
451304,2021-2022,Public,Elementary,20,15,25,15,30,25,25,30,0,0,0,0
452866,2021-2022,Public,Elementary,20,20,10,25,20,25,25,15,0,0,0,0
456764,2021-2022,Public,Elementary,25,10,20,20,25,25,20,25,0,0,0,0
469505,2021-2022,Public,Elementary,30,25,20,20,25,30,30,20,0,0,0,0
485306,2021-2022,Public,Elementary,40,55,50,70,80,65,80,75,0,0,0,0
494208,2021-2022,Public,Elementary,20,20,20,25,25,30,35,40,0,0,0,0
412984,2021-2022,Public,Elementary,75,80,85,80,85,70,85,70,0,0,0,0
505510,2021-2022,Public,Elementary,20,20,15,15,15,10,20,15,0,0,0,0
941557,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,165,150,145,220
521760,2021-2022,Public,Elementary,40,35,50,45,40,35,45,35,0,0,0,0
403725,2021-2022,Public,Elementary,30,20,20,15,20,25,25,15,0,0,0,0
153931,2021-2022,Public,Elementary,50,50,60,45,45,55,45,50,0,0,0,0
916412,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,45,55,60,100
949035,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,85,90,105,125
584037,2021-2022,Public,Elementary,25,25,30,25,35,20,25,30,0,0,0,0
586110,2021-2022,Public,Elementary,40,30,40,40,50,40,35,55,0,0,0,0
176049,2021-2022,Public,Elementary,60,65,60,65,55,65,70,75,0,0,0,0
950785,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,90,75,90,115
1899,2021-2022,Public,Elementary,55,50,35,50,30,40,30,45,0,0,0,0
596647,2021-2022,Public,Elementary,25,30,25,30,20,20,20,30,0,0,0,0
215321,2021-2022,Public,Elementary,45,40,45,25,40,30,50,40,0,0,0,0
1104,2021-2022,Public,Elementary,25,30,35,40,45,40,80,85,0,0,0,0
18660,2021-2022,Public,Elementary,40,40,40,50,35,40,40,40,0,0,0,0
19054,2021-2022,Public,Elementary,55,50,50,55,55,55,60,55,0,0,0,0
929727,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,215,190,195,230
41297,2021-2022,Public,Elementary,75,65,75,70,75,85,90,95,0,0,0,0
41947,2021-2022,Public,Elementary,60,60,105,85,85,85,75,85,0,0,0,0
98094,2021-2022,Public,Elementary,15,25,20,15,20,15,20,25,0,0,0,0
95885,2021-2022,Public,Elementary,40,45,15,25,25,20,35,25,0,0,0,0
91073,2021-2022,Public,Elementary,35,30,30,20,30,25,25,30,0,0,0,0
123838,2021-2022,Public,Elementary,25,20,30,30,20,30,20,15,0,0,0,0
131245,2021-2022,Public,Elementary,30,45,40,40,35,45,0,0,0,0,0,0
134880,2021-2022,Public,Elementary,25,20,15,20,30,30,20,20,0,0,0,0
142948,2021-2022,Public,Elementary,25,30,20,35,25,35,35,35,0,0,0,0
590984,2021-2022,Public,Elementary,45,45,45,45,45,55,55,40,0,0,0,0
362379,2021-2022,Public,Elementary,20,25,20,25,20,30,30,30,0,0,0,0
164690,2021-2022,Public,Elementary,20,25,25,25,25,20,35,30,0,0,0,0
909440,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,195,155,180,195
334012,2021-2022,Public,Elementary,45,55,50,60,70,65,55,75,0,0,0,0
222119,2021-2022,Public,Elementary,40,30,50,45,45,50,45,50,0,0,0,0
201391,2021-2022,Public,Elementary,50,65,65,60,65,70,55,50,0,0,0,0
203009,2021-2022,Public,Elementary,35,40,60,45,50,55,40,50,0,0,0,0
255311,2021-2022,Public,Elementary,100,115,125,160,125,125,145,125,0,0,0,0
900532,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,10
911780,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,145,140,160,165
211192,2021-2022,Public,Elementary,35,40,30,35,30,30,30,35,0,0,0,0
34361,2021-2022,Public,Elementary,55,45,40,45,50,35,40,30,0,0,0,0
220817,2021-2022,Public,Elementary,15,45,40,45,45,40,35,45,0,0,0,0
222240,2021-2022,Public,Elementary,35,25,30,25,15,30,20,30,0,0,0,0
91464,2021-2022,Public,Elementary,35,45,45,40,60,45,50,55,0,0,0,0
245658,2021-2022,Public,Elementary,35,45,25,45,40,45,40,45,0,0,0,0
917249,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,200,225,205,260
268267,2021-2022,Public,Elementary,45,30,20,30,25,30,30,30,0,0,0,0
279315,2021-2022,Public,Elementary,20,25,25,30,30,30,35,25,0,0,0,0
91596,2021-2022,Public,Elementary,50,40,50,70,50,75,50,65,0,0,0,0
283347,2021-2022,Public,Elementary,30,30,35,35,35,35,30,35,0,0,0,0
294659,2021-2022,Public,Elementary,35,35,25,35,30,30,45,35,0,0,0,0
920100,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,170,145,185,170
300500,2021-2022,Public,Elementary,45,50,45,40,40,50,25,50,0,0,0,0
308897,2021-2022,Public,Elementary,45,60,45,65,60,60,60,70,0,0,0,0
551941,2021-2022,Public,Elementary,70,85,85,85,90,110,125,115,0,0,0,0
922188,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,225,200,215,290
452734,2021-2022,Public,Elementary,45,45,50,55,45,55,45,50,0,0,0,0
327026,2021-2022,Public,Elementary,30,30,35,35,40,35,45,40,0,0,0,0
331180,2021-2022,Public,Elementary,25,30,25,25,30,30,30,30,0,0,0,0
338206,2021-2022,Public,Elementary,30,30,25,25,25,30,25,40,0,0,0,0
343536,2021-2022,Public,Elementary,65,40,45,55,35,40,45,45,0,0,0,0
376035,2021-2022,Public,Elementary,20,25,20,20,35,25,30,30,0,0,0,0
411787,2021-2022,Public,Elementary,65,80,85,85,90,95,120,115,0,0,0,0
435872,2021-2022,Public,Elementary,35,20,35,30,20,30,30,30,0,0,0,0
439088,2021-2022,Public,Elementary,10,10,10,0,10,10,10,0,0,0,0,0
454168,2021-2022,Public,Elementary,45,55,50,55,65,55,65,60,0,0,0,0
457280,2021-2022,Public,Elementary,30,30,30,30,20,20,25,15,0,0,0,0
462098,2021-2022,Public,Elementary,35,50,35,45,55,55,45,60,0,0,0,0
574155,2021-2022,Public,Elementary,45,40,45,45,40,40,55,50,0,0,0,0
939218,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,225,235,230,225
491217,2021-2022,Public,Elementary,40,50,40,60,50,45,65,60,0,0,0,0
491764,2021-2022,Public,Elementary,20,20,25,15,30,10,20,25,0,0,0,0
939765,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,275,235,260,255
498513,2021-2022,Public,Elementary,50,45,55,60,70,75,75,85,0,0,0,0
526703,2021-2022,Public,Elementary,20,30,35,40,40,40,50,60,0,0,0,0
243524,2021-2022,Public,Elementary,65,80,70,95,75,100,100,105,0,0,0,0
539427,2021-2022,Public,Elementary,65,60,70,75,75,90,125,105,0,0,0,0
902299,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,215,190,160,185
949612,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,510,450,475,500
440256,2021-2022,Public,Elementary,65,50,35,50,45,35,25,25,0,0,0,0
950009,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,175,135,150,180
950394,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,200,180,185,205
147362,2021-2022,Public,Elementary,70,70,60,55,65,60,70,55,0,0,0,0
951927,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,55,40,55,70
918806,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,150,115,110,175
607541,2021-2022,Public,Elementary,30,30,30,40,35,30,35,35,0,0,0,0
953822,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,0,10,180
687286,2021-2022,Catholic,Elementary,30,35,35,35,25,25,25,25,0,0,0,0
688231,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,250,230,290,295
689726,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,585,545,575,560
693987,2021-2022,Catholic,Elementary,30,40,30,40,45,50,25,40,0,0,0,0
697125,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,355,390,370,435
761182,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,260,265,250,315
846774,2021-2022,Catholic,Elementary,75,115,95,95,120,105,105,85,0,0,0,0
708160,2021-2022,Catholic,Elementary,60,70,80,90,90,90,90,95,0,0,0,0
714712,2021-2022,Catholic,Elementary,40,20,35,50,45,40,40,45,0,0,0,0
716936,2021-2022,Catholic,Elementary,25,15,20,20,15,20,25,20,0,0,0,0
718483,2021-2022,Catholic,Elementary,30,40,40,45,35,35,45,45,0,0,0,0
719005,2021-2022,Catholic,Elementary,45,40,40,50,65,55,80,60,0,0,0,0
704300,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,365,315,340,385
687394,2021-2022,Catholic,Elementary,70,70,65,75,75,85,80,55,0,0,0,0
738271,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,315,260,290,280
737147,2021-2022,Catholic,Elementary,45,45,60,60,80,100,100,75,0,0,0,0
749052,2021-2022,Catholic,Elementary,40,35,35,50,45,50,45,40,0,0,0,0
734373,2021-2022,Catholic,Elementary,30,20,25,25,40,40,25,35,0,0,0,0
810355,2021-2022,Catholic,Elementary,75,85,110,85,105,90,80,80,0,0,0,0
758280,2021-2022,Catholic,Elementary,75,70,70,55,65,50,75,45,0,0,0,0
768936,2021-2022,Catholic,Elementary,60,55,60,65,80,95,85,100,0,0,0,0
772647,2021-2022,Catholic,Elementary,70,85,70,90,80,70,75,65,0,0,0,0
683661,2021-2022,Catholic,Elementary,65,70,90,90,90,100,90,85,0,0,0,0
681054,2021-2022,Catholic,Elementary,70,80,65,90,105,80,95,95,0,0,0,0
777650,2021-2022,Catholic,Elementary,25,20,35,35,30,50,40,60,0,0,0,0
780871,2021-2022,Catholic,Elementary,65,65,70,105,85,90,100,100,0,0,0,0
781436,2021-2022,Catholic,Elementary,85,100,100,60,55,75,75,95,0,0,0,0
838178,2021-2022,Catholic,Elementary,25,30,25,40,50,40,45,35,0,0,0,0
786861,2021-2022,Catholic,Elementary,55,70,65,65,75,60,55,55,0,0,0,0
789232,2021-2022,Catholic,Elementary,40,35,40,40,40,40,35,45,0,0,0,0
696392,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,415,630,585,670
792039,2021-2022,Catholic,Elementary,30,35,40,30,30,30,40,30,0,0,0,0
793884,2021-2022,Catholic,Elementary,55,55,60,40,65,60,55,55,0,0,0,0
755052,2021-2022,Catholic,Elementary,70,60,50,85,50,40,45,55,0,0,0,0
798010,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,285,305,265,350
801283,2021-2022,Catholic,Elementary,20,35,40,30,50,50,45,45,0,0,0,0
804410,2021-2022,Catholic,Elementary,30,30,30,30,25,25,35,35,0,0,0,0
680039,2021-2022,Catholic,Elementary,25,35,40,45,45,65,65,75,0,0,0,0
809144,2021-2022,Catholic,Elementary,30,30,35,30,20,40,35,40,0,0,0,0
772099,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,125,0,0,0
820679,2021-2022,Catholic,Elementary,15,10,20,20,20,20,20,25,0,0,0,0
821241,2021-2022,Catholic,Elementary,55,25,25,40,45,50,55,60,0,0,0,0
823058,2021-2022,Catholic,Elementary,40,45,50,35,40,30,35,30,0,0,0,0
681423,2021-2022,Catholic,Elementary,75,100,85,70,85,95,95,90,0,0,0,0
823180,2021-2022,Catholic,Elementary,40,35,50,40,35,35,55,65,0,0,0,0
834319,2021-2022,Catholic,Elementary,20,25,25,20,25,25,30,25,0,0,0,0
798827,2021-2022,Catholic,Elementary,55,45,65,40,60,65,55,70,0,0,0,0
839442,2021-2022,Catholic,Elementary,20,35,30,30,40,25,20,35,0,0,0,0
840912,2021-2022,Catholic,Elementary,30,45,40,35,30,30,35,35,0,0,0,0
843989,2021-2022,Catholic,Elementary,75,60,50,60,50,70,55,85,0,0,0,0
848484,2021-2022,Catholic,Elementary,35,35,40,45,40,35,35,40,0,0,0,0
794978,2021-2022,Catholic,Elementary,115,135,95,55,40,45,45,35,0,0,0,0
729159,2021-2022,Catholic,Elementary,35,20,40,30,30,35,45,30,0,0,0,0
854212,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,305,235,280,295
856630,2021-2022,Catholic,Elementary,45,50,65,55,65,45,70,50,0,0,0,0
858889,2021-2022,Catholic,Elementary,15,10,10,15,20,15,25,30,0,0,0,0
684465,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,0,10,10,125
779,2021-2022,Public,Elementary,30,50,15,25,30,20,30,40,0,0,0,0
913715,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,235,300,310,360
890332,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,105,100,100,125
492381,2021-2022,Public,Elementary,0,0,0,0,0,0,75,120,0,0,0,0
6777,2021-2022,Public,Elementary,0,0,0,0,0,0,110,105,0,0,0,0
890987,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,295,190,170,115
33680,2021-2022,Public,Elementary,40,45,45,65,50,55,70,60,0,0,0,0
344051,2021-2022,Public,Elementary,110,90,110,140,105,130,115,115,0,0,0,0
251664,2021-2022,Public,Elementary,90,140,115,125,135,125,135,110,0,0,0,0
124887,2021-2022,Public,Elementary,145,115,120,135,120,105,120,110,0,0,0,0
59501,2021-2022,Public,Elementary,25,15,25,15,25,45,65,60,0,0,0,0
66249,2021-2022,Public,Elementary,20,35,20,30,25,30,35,35,0,0,0,0
66761,2021-2022,Public,Elementary,40,25,40,40,45,25,45,35,0,0,0,0
58360,2021-2022,Public,Elementary,40,45,40,30,40,30,0,0,0,0,0,0
586248,2021-2022,Public,Elementary,135,100,110,100,105,125,130,120,0,0,0,0
70777,2021-2022,Public,Elementary,0,0,0,0,0,0,110,105,0,0,0,0
897353,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,215,160,155,230
411795,2021-2022,Public,Elementary,50,50,45,40,55,45,55,50,0,0,0,0
85898,2021-2022,Public,Elementary,75,60,80,90,70,80,100,85,0,0,0,0
90140,2021-2022,Public,Elementary,0,0,0,0,0,105,110,160,0,0,0,0
94455,2021-2022,Public,Elementary,45,45,30,45,45,40,0,0,0,0,0,0
77046,2021-2022,Public,Elementary,30,45,60,55,85,75,110,90,0,0,0,0
76970,2021-2022,Public,Elementary,100,85,95,75,120,80,100,85,0,0,0,0
111090,2021-2022,Public,Elementary,35,50,55,50,50,50,0,0,0,0,0,0
967740,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,540,560,420,510
147281,2021-2022,Public,Elementary,40,15,25,25,20,0,0,0,0,0,0,0
179950,2021-2022,Public,Elementary,85,125,145,100,115,100,125,65,0,0,0,0
893675,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,365,335,340,435
156469,2021-2022,Public,Elementary,0,65,60,60,45,80,55,60,0,0,0,0
169110,2021-2022,Public,Elementary,45,55,50,45,45,0,0,0,0,0,0,0
164267,2021-2022,Public,Elementary,40,30,30,35,30,40,95,120,0,0,0,0
913260,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,120,0,0,0
206470,2021-2022,Public,Elementary,85,45,90,65,75,75,90,95,0,0,0,0
121112,2021-2022,Public,Elementary,105,95,120,120,120,95,125,120,0,0,0,0
180123,2021-2022,Public,Elementary,55,60,65,60,65,85,75,95,0,0,0,0
193046,2021-2022,Public,Elementary,40,30,30,35,40,80,75,85,0,0,0,0
194263,2021-2022,Public,Elementary,70,50,60,60,80,45,70,65,0,0,0,0
474578,2021-2022,Public,Elementary,0,105,65,70,70,55,70,75,0,0,0,0
206474,2021-2022,Public,Elementary,50,35,40,25,50,30,115,105,0,0,0,0
901439,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,410,440,430,495
940968,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,0,0,215
940925,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,15,70
212369,2021-2022,Public,Elementary,30,70,60,45,60,0,0,0,0,0,0,0
912433,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,385,375,370,400
216267,2021-2022,Public,Elementary,40,40,45,55,40,45,0,0,0,0,0,0
220523,2021-2022,Public,Elementary,30,25,30,30,30,0,0,0,0,0,0,0
220426,2021-2022,Public,Elementary,50,55,40,50,35,35,0,0,0,0,0,0
911773,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,10
245259,2021-2022,Public,Elementary,30,35,25,25,25,0,0,0,0,0,0,0
111600,2021-2022,Public,Elementary,75,85,115,105,95,105,125,125,0,0,0,0
253340,2021-2022,Public,Elementary,35,45,55,60,100,90,85,120,0,0,0,0
158377,2021-2022,Public,Elementary,65,110,105,95,120,105,140,150,0,0,0,0
918300,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,360,385,375,410
280356,2021-2022,Public,Elementary,40,45,40,30,45,0,0,0,0,0,0,0
138990,2021-2022,Public,Elementary,55,80,65,60,70,60,45,85,0,0,0,0
