School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
953148,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,130,140,85,135
144872,2021-2022,Public,Elementary,0,0,0,0,0,0,15,35,0,0,0,0
765031,2021-2022,Catholic,Elementary,20,20,15,25,15,30,25,40,0,0,0,0
827681,2021-2022,Catholic,Elementary,45,45,45,50,55,30,10,30,0,0,0,0
683773,2021-2022,Catholic,Elementary,0,10,10,0,0,0,10,0,0,0,0,0
708011,2021-2022,Catholic,Elementary,30,25,35,35,30,40,40,40,0,0,0,0
715298,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,275,265,290,330
717703,2021-2022,Catholic,Elementary,20,10,10,20,10,15,15,10,0,0,0,0
865257,2021-2022,Catholic,Elementary,10,20,15,10,15,10,10,10,0,0,0,0
719919,2021-2022,Catholic,Elementary,20,20,25,25,25,20,20,25,0,0,0,0
735523,2021-2022,Catholic,Elementary,30,25,25,30,30,30,30,20,0,0,0,0
724068,2021-2022,Catholic,Elementary,25,20,25,20,25,25,30,20,0,0,0,0
728420,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,0,0,120,210
773875,2021-2022,Catholic,Elementary,40,45,40,45,50,45,50,45,0,0,0,0
835099,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,95,115,105,100
690932,2021-2022,Catholic,Elementary,0,0,0,0,0,0,60,55,0,0,0,0
742279,2021-2022,Catholic,Elementary,25,15,10,20,20,15,10,20,0,0,0,0
746568,2021-2022,Catholic,Elementary,20,25,25,25,20,30,25,45,0,0,0,0
746690,2021-2022,Catholic,Elementary,20,20,25,15,20,15,25,10,0,0,0,0
706264,2021-2022,Catholic,Elementary,60,60,65,60,40,60,40,35,0,0,0,0
752932,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,195,235,205,270
756830,2021-2022,Catholic,Elementary,10,20,10,10,15,10,15,10,0,0,0,0
764370,2021-2022,Catholic,Elementary,20,15,15,10,15,15,20,10,0,0,0,0
868370,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0
781142,2021-2022,Catholic,Elementary,10,15,15,15,10,10,15,15,0,0,0,0
756642,2021-2022,Catholic,Elementary,20,20,25,25,25,25,30,25,0,0,0,0
796220,2021-2022,Catholic,Elementary,15,25,20,30,25,35,20,15,0,0,0,0
799556,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0
815330,2021-2022,Catholic,Elementary,30,40,35,45,40,50,40,30,0,0,0,0
830984,2021-2022,Catholic,Elementary,45,45,45,60,35,30,35,40,0,0,0,0
823570,2021-2022,Catholic,Elementary,40,30,25,30,30,45,20,30,0,0,0,0
824330,2021-2022,Catholic,Elementary,10,0,0,10,10,10,10,10,0,0,0,0
831840,2021-2022,Catholic,Elementary,40,40,45,45,35,40,0,0,0,0,0,0
865125,2021-2022,Catholic,Elementary,10,15,10,10,10,10,10,10,0,0,0,0
834688,2021-2022,Catholic,Elementary,75,75,55,70,70,65,0,0,0,0,0,0
841773,2021-2022,Catholic,Elementary,30,20,25,20,30,25,25,30,0,0,0,0
764248,2021-2022,Catholic,Elementary,10,10,10,10,0,10,10,10,0,0,0,0
706744,2021-2022,Catholic,Elementary,0,0,0,0,0,0,85,100,0,0,0,0
842761,2021-2022,Catholic,Elementary,15,10,10,15,10,10,20,15,0,0,0,0
841358,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,110,70,100,95
845493,2021-2022,Catholic,Elementary,55,45,40,50,50,60,0,0,0,0,0,0
851752,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,185,195,160,190
856150,2021-2022,Catholic,Elementary,25,20,15,25,25,25,25,20,0,0,0,0
19313,2021-2022,Public,Elementary,40,40,40,40,45,50,0,0,0,0,0,0
893048,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,25
20878,2021-2022,Public,Elementary,25,10,15,20,25,30,20,35,0,0,0,0
28673,2021-2022,Public,Elementary,50,55,50,55,50,55,0,0,0,0,0,0
39306,2021-2022,Public,Elementary,60,75,55,50,50,65,0,0,0,0,0,0
272319,2021-2022,Public,Elementary,25,25,15,15,10,10,0,0,0,0,0,0
66699,2021-2022,Public,Elementary,35,20,35,20,25,20,25,20,0,0,0,0
899569,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,135,115,115,105
93718,2021-2022,Public,Elementary,15,20,10,15,15,20,15,20,0,0,0,0
112917,2021-2022,Public,Elementary,20,30,25,25,25,25,35,35,0,0,0,0
145912,2021-2022,Public,Elementary,15,15,20,15,15,20,20,20,0,0,0,0
175170,2021-2022,Public,Elementary,30,30,45,20,35,25,50,35,0,0,0,0
190527,2021-2022,Public,Elementary,55,55,40,30,50,40,0,0,0,0,0,0
953776,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,115,120,145,150
181908,2021-2022,Public,Elementary,0,0,0,0,0,0,85,75,0,0,0,0
450242,2021-2022,Public,Elementary,0,0,0,0,0,0,55,75,0,0,0,0
913600,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,75,85,95,120
478133,2021-2022,Public,Elementary,50,65,75,50,75,65,0,0,0,0,0,0
242527,2021-2022,Public,Elementary,30,20,15,30,15,20,0,0,0,0,0,0
268003,2021-2022,Public,Elementary,25,30,35,20,35,20,45,25,0,0,0,0
268640,2021-2022,Public,Elementary,25,30,20,30,25,25,35,30,0,0,0,0
273694,2021-2022,Public,Elementary,40,30,35,35,40,40,40,25,0,0,0,0
923095,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,225,200,205,275
163619,2021-2022,Public,Elementary,50,50,35,50,45,35,0,0,0,0,0,0
285535,2021-2022,Public,Elementary,50,45,55,55,60,60,0,0,0,0,0,0
517103,2021-2022,Public,Elementary,50,55,65,50,65,65,0,0,0,0,0,0
366021,2021-2022,Public,Elementary,25,30,35,30,25,30,25,25,0,0,0,0
135064,2021-2022,Public,Elementary,0,0,0,0,0,0,80,70,0,0,0,0
927120,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,80,75,60,100
372781,2021-2022,Public,Elementary,10,20,20,20,20,20,15,15,0,0,0,0
406040,2021-2022,Public,Elementary,15,15,20,10,20,15,15,20,0,0,0,0
459441,2021-2022,Public,Elementary,55,60,55,45,50,55,95,90,0,0,0,0
578519,2021-2022,Public,Elementary,20,20,20,15,15,15,0,0,0,0,0,0
490040,2021-2022,Public,Elementary,15,20,15,15,10,15,0,0,0,0,0,0
504475,2021-2022,Public,Elementary,30,25,40,20,35,25,30,30,0,0,0,0
507725,2021-2022,Public,Elementary,20,30,15,25,25,20,0,0,0,0,0,0
943118,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,115,115,115,130
469900,2021-2022,Public,Elementary,0,0,0,0,0,0,90,90,0,0,0,0
523267,2021-2022,Public,Elementary,20,25,15,20,10,15,15,20,0,0,0,0
528650,2021-2022,Public,Elementary,10,20,10,20,20,20,15,15,0,0,0,0
944807,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,95,115,135
100438,2021-2022,Public,Elementary,0,0,0,0,0,0,60,65,0,0,0,0
535508,2021-2022,Public,Elementary,15,15,20,15,15,15,0,0,0,0,0,0
893395,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,320,295,300,430
97284,2021-2022,Public,Elementary,0,0,0,0,0,0,220,260,0,0,0,0
566667,2021-2022,Public,Elementary,75,65,55,80,65,65,0,0,0,0,0,0
10472,2021-2022,Public,Elementary,40,30,40,25,35,20,30,25,0,0,0,0
11606,2021-2022,Public,Elementary,15,15,20,20,20,15,15,15,0,0,0,0
22322,2021-2022,Public,Elementary,35,40,40,40,35,55,40,35,0,0,0,0
552585,2021-2022,Public,Elementary,60,80,55,70,55,75,50,60,0,0,0,0
340804,2021-2022,Public,Elementary,20,35,25,20,35,25,25,15,0,0,0,0
67709,2021-2022,Public,Elementary,15,20,20,25,20,20,25,20,0,0,0,0
