School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
895270,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,30,30,25,40,125
953148,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,105,120,110,130,465
144872,2019-2020,Public,Elementary,0,0,0,0,0,0,30,30,0,0,0,0,60
765031,2019-2020,Catholic,Elementary,20,25,15,30,30,35,25,25,0,0,0,0,205
827681,2019-2020,Catholic,Elementary,55,55,60,40,40,35,30,15,0,0,0,0,330
708011,2019-2020,Catholic,Elementary,35,30,30,40,45,40,35,45,0,0,0,0,300
715298,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,290,250,225,340,1105
717703,2019-2020,Catholic,Elementary,10,20,15,15,15,10,10,15,0,0,0,0,110
865257,2019-2020,Catholic,Elementary,15,10,15,10,10,10,15,15,0,0,0,0,100
719919,2019-2020,Catholic,Elementary,25,20,20,20,10,20,30,30,0,0,0,0,175
735523,2019-2020,Catholic,Elementary,25,30,25,30,35,25,35,25,0,0,0,0,230
724068,2019-2020,Catholic,Elementary,25,15,25,25,30,20,25,30,0,0,0,0,195
728420,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,0,0,190,170,360
773875,2019-2020,Catholic,Elementary,35,45,45,45,45,50,45,35,0,0,0,0,345
835099,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,100,105,95,110,410
742279,2019-2020,Catholic,Elementary,10,20,20,20,20,25,20,15,0,0,0,0,150
746568,2019-2020,Catholic,Elementary,25,20,25,35,25,45,30,25,0,0,0,0,230
746690,2019-2020,Catholic,Elementary,25,15,20,15,25,10,20,20,0,0,0,0,150
706264,2019-2020,Catholic,Elementary,60,60,40,65,50,50,35,50,0,0,0,0,410
752932,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,205,230,235,310,980
756830,2019-2020,Catholic,Elementary,10,10,15,10,20,10,15,10,0,0,0,0,100
764370,2019-2020,Catholic,Elementary,20,10,15,15,20,10,10,15,0,0,0,0,115
868370,2019-2020,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
781142,2019-2020,Catholic,Elementary,15,20,15,10,20,20,15,15,0,0,0,0,130
756642,2019-2020,Catholic,Elementary,25,20,25,25,30,25,40,30,0,0,0,0,220
796220,2019-2020,Catholic,Elementary,20,30,35,35,25,20,25,15,0,0,0,0,205
799556,2019-2020,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
815330,2019-2020,Catholic,Elementary,30,40,40,45,35,30,35,35,0,0,0,0,290
830984,2019-2020,Catholic,Elementary,40,60,30,35,35,45,50,40,0,0,0,0,335
823570,2019-2020,Catholic,Elementary,25,30,30,40,30,45,25,40,0,0,0,0,265
824330,2019-2020,Catholic,Elementary,0,10,0,10,10,10,10,10,0,0,0,0,60
831840,2019-2020,Catholic,Elementary,50,50,45,50,45,45,0,0,0,0,0,0,285
865125,2019-2020,Catholic,Elementary,10,15,10,10,10,10,10,15,0,0,0,0,90
834688,2019-2020,Catholic,Elementary,55,80,70,70,70,55,60,45,0,0,0,0,505
764248,2019-2020,Catholic,Elementary,10,10,0,10,10,10,10,10,0,0,0,0,70
841773,2019-2020,Catholic,Elementary,25,20,25,25,20,30,25,25,0,0,0,0,195
706744,2019-2020,Catholic,Elementary,0,0,0,0,0,0,95,70,0,0,0,0,165
842761,2019-2020,Catholic,Elementary,10,15,10,15,20,15,15,20,0,0,0,0,120
841358,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,110,80,85,90,365
845493,2019-2020,Catholic,Elementary,25,40,45,45,35,50,0,0,0,0,0,0,240
851752,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,165,170,160,215,710
856150,2019-2020,Catholic,Elementary,15,25,25,25,35,15,30,35,0,0,0,0,205
893048,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,10,35,85,145,275
272319,2019-2020,Public,Elementary,20,20,10,10,10,20,0,0,0,0,0,0,90
899569,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,110,100,115,110,435
112917,2019-2020,Public,Elementary,25,20,25,25,40,35,40,40,0,0,0,0,250
145912,2019-2020,Public,Elementary,20,15,15,25,20,25,25,25,0,0,0,0,170
