School Number,Year,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
111872,2026,25,37,25,46,46,0,0,0,0,0,0,0
112387,2022,37,53,55,63,70,51,96,74,0,0,0,0
112387,2023,31,48,47,62,65,47,116,84,0,0,0,0
112387,2024,26,42,40,60,61,44,140,96,0,0,0,0
112387,2025,22,38,34,59,58,41,169,110,0,0,0,0
112387,2026,18,34,29,58,54,38,204,125,0,0,0,0
112917,2022,18,36,25,25,19,21,32,32,0,0,0,0
112917,2023,16,45,26,26,15,18,30,30,0,0,0,0
112917,2024,14,55,26,26,12,15,28,28,0,0,0,0
112917,2025,13,67,27,27,9,13,27,27,0,0,0,0
112917,2026,11,82,28,28,7,11,25,25,0,0,0,0
113174,2022,13,42,37,74,70,62,0,0,0,0,0,0
113174,2023,9,45,39,85,70,65,0,0,0,0,0,0
113174,2024,6,49,41,97,70,68,0,0,0,0,0,0
113174,2025,4,52,43,112,70,71,0,0,0,0,0,0
113174,2026,2,56,46,128,71,74,0,0,0,0,0,0
113956,2022,42,60,33,21,59,51,37,32,0,0,0,0
113956,2023,45,82,31,19,71,58,41,29,0,0,0,0
113956,2024,49,110,30,16,85,67,44,26,0,0,0,0
113956,2025,52,149,28,14,102,76,48,24,0,0,0,0
113956,2026,56,201,27,12,122,87,52,22,0,0,0,0
114073,2022,26,42,48,40,42,40,35,40,0,0,0,0
114073,2023,22,45,52,40,45,40,35,40,0,0,0,0
114073,2024,20,49,56,40,49,41,35,41,0,0,0,0
114073,2025,17,52,61,40,52,41,35,41,0,0,0,0
114073,2026,15,56,66,40,56,41,35,41,0,0,0,0
114334,2022,0,0,0,0,0,0,148,134,0,0,0,0
114334,2023,0,0,0,0,0,0,152,133,0,0,0,0
114334,2024,0,0,0,0,0,0,156,132,0,0,0,0
114334,2025,0,0,0,0,0,0,160,131,0,0,0,0
114334,2026,0,0,0,0,0,0,164,130,0,0,0,0
114472,2022,20,39,11,30,35,37,37,35,0,0,0,0
114472,2023,21,50,9,30,35,41,41,35,0,0,0,0
114472,2024,21,65,6,30,36,44,44,36,0,0,0,0
114472,2025,22,85,5,30,36,48,48,36,0,0,0,0
114472,2026,22,111,4,30,37,52,52,37,0,0,0,0
114477,2022,50,36,33,50,44,58,57,113,0,0,0,0
114477,2023,56,33,27,50,39,56,54,135,0,0,0,0
114477,2024,64,31,23,50,34,54,52,162,0,0,0,0
114477,2025,72,28,19,51,30,52,50,193,0,0,0,0
114477,2026,81,26,16,51,27,51,48,231,0,0,0,0
114731,2022,10,10,10,10,10,0,0,0,0,0,0,0
114731,2023,10,10,10,10,10,0,0,0,0,0,0,0
114731,2024,10,10,10,10,10,0,0,0,0,0,0,0
114731,2025,10,10,10,10,10,0,0,0,0,0,0,0
114731,2026,10,10,10,10,10,0,0,0,0,0,0,0
115380,2022,18,43,10,10,10,18,8,10,0,0,0,0
115380,2023,23,76,10,10,10,23,6,10,0,0,0,0
115380,2024,29,133,10,10,10,29,5,10,0,0,0,0
115380,2025,36,234,10,10,10,36,4,10,0,0,0,0
115380,2026,45,410,10,10,10,45,4,10,0,0,0,0
115541,2022,28,18,25,16,25,28,23,42,0,0,0,0
115541,2023,31,16,25,13,25,27,22,50,0,0,0,0
115541,2024,35,14,25,10,26,26,20,60,0,0,0,0
115541,2025,40,13,25,8,26,25,19,72,0,0,0,0
115541,2026,45,11,25,7,27,24,18,87,0,0,0,0
116073,2022,60,62,90,91,61,85,80,106,0,0,0,0
116073,2023,56,52,95,104,53,91,80,142,0,0,0,0
116073,2024,52,43,101,119,46,97,80,189,0,0,0,0
116073,2025,48,36,108,136,41,103,80,252,0,0,0,0
116073,2026,44,30,115,155,35,110,80,337,0,0,0,0
116646,2022,0,0,0,0,0,0,84,84,0,0,0,0
116646,2023,0,0,0,0,0,0,94,94,0,0,0,0
116646,2024,0,0,0,0,0,0,106,106,0,0,0,0
116646,2025,0,0,0,0,0,0,120,120,0,0,0,0
116646,2026,0,0,0,0,0,0,135,135,0,0,0,0
116815,2022,53,51,46,61,55,45,37,39,0,0,0,0
116815,2023,57,58,47,67,62,45,35,34,0,0,0,0
116815,2024,61,67,49,75,69,45,33,30,0,0,0,0
116815,2025,65,76,50,83,78,46,31,26,0,0,0,0
116815,2026,69,87,52,93,87,46,30,23,0,0,0,0
116840,2022,133,54,34,61,71,54,85,41,0,0,0,0
116840,2023,222,66,29,67,78,58,112,38,0,0,0,0
116840,2024,370,80,24,75,85,63,148,35,0,0,0,0
116840,2025,617,97,21,83,94,68,195,33,0,0,0,0
116840,2026,1028,117,18,93,103,74,257,30,0,0,0,0
117382,2022,0,0,0,0,0,0,98,90,0,0,0,0
117382,2023,0,0,0,0,0,0,115,101,0,0,0,0
117382,2024,0,0,0,0,0,0,134,114,0,0,0,0
117382,2025,0,0,0,0,0,0,156,129,0,0,0,0
117382,2026,0,0,0,0,0,0,182,146,0,0,0,0
117463,2022,18,17,22,41,35,7,32,20,0,0,0,0
117463,2023,16,15,21,56,50,4,35,20,0,0,0,0
117463,2024,14,13,19,77,71,3,38,20,0,0,0,0
117463,2025,13,12,17,107,100,2,41,20,0,0,0,0
117463,2026,11,10,16,147,142,1,44,20,0,0,0,0
117722,2022,32,47,47,47,56,46,51,58,0,0,0,0
117722,2023,30,50,50,50,70,47,65,68,0,0,0,0
117722,2024,28,53,53,53,87,48,83,79,0,0,0,0
117722,2025,27,57,57,57,109,49,107,92,0,0,0,0
117722,2026,25,60,60,60,137,50,137,108,0,0,0,0
118524,2022,89,88,80,63,77,107,88,50,0,0,0,0
118524,2023,99,98,81,58,75,127,91,35,0,0,0,0
118524,2024,111,109,82,53,73,152,94,25,0,0,0,0
118524,2025,123,121,82,48,70,181,97,18,0,0,0,0
118524,2026,138,134,83,44,68,216,101,13,0,0,0,0
118575,2022,0,10,0,0,10,0,0,0,0,0,0,0
118575,2023,0,10,0,0,10,0,0,0,0,0,0,0
118575,2024,0,10,0,0,10,0,0,0,0,0,0,0
118575,2025,0,10,0,0,10,0,0,0,0,0,0,0
118575,2026,0,10,0,0,10,0,0,0,0,0,0,0
118583,2022,28,20,52,23,17,58,19,17,0,0,0,0
118583,2023,32,21,91,27,19,97,18,19,0,0,0,0
118583,2024,36,21,160,31,21,162,18,21,0,0,0,0
118583,2025,41,22,281,37,24,270,17,24,0,0,0,0
118583,2026,46,22,492,43,28,450,16,28,0,0,0,0
118827,2022,64,46,65,63,77,0,0,0,0,0,0,0
118827,2023,59,39,61,54,79,0,0,0,0,0,0,0
118827,2024,54,33,57,46,81,0,0,0,0,0,0,0
118827,2025,50,27,54,39,83,0,0,0,0,0,0,0
118827,2026,46,23,50,33,86,0,0,0,0,0,0,0
119207,2022,35,43,30,31,74,35,0,0,0,0,0,0
119207,2023,35,46,27,27,100,31,0,0,0,0,0,0
119207,2024,36,50,24,24,135,28,0,0,0,0,0,0
119207,2025,36,53,21,21,182,25,0,0,0,0,0,0
119207,2026,37,58,18,19,246,22,0,0,0,0,0,0
119547,2022,10,10,10,10,8,8,10,10,0,0,0,0
119547,2023,10,10,10,10,6,6,10,10,0,0,0,0
119547,2024,10,10,10,10,5,5,10,10,0,0,0,0
119547,2025,10,10,10,10,4,4,10,10,0,0,0,0
119547,2026,10,10,10,10,4,4,10,10,0,0,0,0
120199,2022,90,74,98,149,80,124,91,72,0,0,0,0
120199,2023,96,65,113,186,81,153,98,70,0,0,0,0
120199,2024,103,57,130,232,81,190,105,68,0,0,0,0
120199,2025,110,50,150,289,82,236,113,66,0,0,0,0
120199,2026,117,44,174,360,82,293,121,63,0,0,0,0
120324,2022,30,41,36,23,14,26,0,0,0,0,0,0
120324,2023,30,49,45,22,10,22,0,0,0,0,0,0
120324,2024,31,57,55,22,7,20,0,0,0,0,0,0
120324,2025,31,68,67,21,5,17,0,0,0,0,0,0
120324,2026,31,81,82,20,3,15,0,0,0,0,0,0
120715,2022,28,28,28,18,22,22,36,33,0,0,0,0
120715,2023,31,31,31,16,21,21,45,36,0,0,0,0
120715,2024,35,35,35,14,19,19,55,39,0,0,0,0
120715,2025,40,40,40,13,17,17,67,43,0,0,0,0
120715,2026,45,45,45,11,16,16,82,48,0,0,0,0
121112,2022,94,86,122,139,131,79,138,117,0,0,0,0
121112,2023,85,79,125,163,143,66,152,114,0,0,0,0
121112,2024,77,72,127,190,156,56,169,111,0,0,0,0
121112,2025,70,66,130,222,170,47,186,108,0,0,0,0
121112,2026,63,60,133,259,186,39,206,105,0,0,0,0
121690,2022,44,21,35,29,21,53,0,0,0,0,0,0
121690,2023,49,18,35,28,17,62,0,0,0,0,0,0
121690,2024,55,15,36,27,15,73,0,0,0,0,0,0
121690,2025,61,13,36,26,12,86,0,0,0,0,0,0
121690,2026,68,11,37,26,10,102,0,0,0,0,0,0
121754,2022,101,67,23,50,48,30,50,42,0,0,0,0
121754,2023,227,128,22,64,59,30,64,50,0,0,0,0
121754,2024,512,246,20,82,72,30,81,60,0,0,0,0
121754,2025,1153,472,19,104,87,30,102,72,0,0,0,0
121754,2026,2594,905,18,132,106,30,130,87,0,0,0,0
121886,2022,40,45,58,45,47,40,0,0,0,0,0,0
121886,2023,36,45,61,45,49,40,0,0,0,0,0,0
121886,2024,32,45,65,45,52,40,0,0,0,0,0,0
121886,2025,28,46,69,46,54,40,0,0,0,0,0,0
121886,2026,25,46,73,46,57,40,0,0,0,0,0,0
121940,2022,13,20,20,33,49,0,0,0,0,0,0,0
121940,2023,11,21,21,36,70,0,0,0,0,0,0,0
121940,2024,10,22,22,39,99,0,0,0,0,0,0,0
121940,2025,8,23,23,43,140,0,0,0,0,0,0,0
121940,2026,7,24,24,48,199,0,0,0,0,0,0,0
122017,2022,10,10,10,10,10,10,10,10,0,0,0,0
122017,2023,10,10,10,10,10,10,10,10,0,0,0,0
122017,2024,10,10,10,10,10,10,10,10,0,0,0,0
122017,2025,10,10,10,10,10,10,10,10,0,0,0,0
122017,2026,10,10,10,10,10,10,10,10,0,0,0,0
122092,2022,50,27,40,55,37,24,40,46,0,0,0,0
