Board Number|Board Name|School Number|School Name|School Type|School Level|School Language|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment
B28029|Rainbow DSB|116646|Lively District Elementary School|Public|Elementary|English|||||||||60|60||||
B28029|Rainbow DSB|923354|Lively District Secondary School|Public|Secondary|English|||||||||||65|55|55|80
B28029|Rainbow DSB|053221|Lo-Ellen Park Elementary School|Public|Elementary|English|||||||||60|80||||
B28029|Rainbow DSB|923486|Lo-Ellen Park Secondary School|Public|Secondary|English|||||||||||175|205|205|225
B28029|Rainbow DSB|923613|Lockerby Composite School|Public|Secondary|English|||||||||||125|120|110|120
B28029|Rainbow DSB|328197|MacLeod Public School|Public|Elementary|English|60|60|60|45|55|75|65|90|65|80||||
B28029|Rainbow DSB|924679|Manitoulin Secondary School|Public|Secondary|English|||||||||||95|95|95|125
B28029|Rainbow DSB|237582|Markstay Public School|Public|Elementary|English|<10|15|10|15|15|15|15|15|<10|10||||
B28029|Rainbow DSB|125261|Monetville Public School|Public|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B28029|Rainbow DSB|902935|N'Swakamok Native Alternative School|Public|Secondary|English||||||||||||||35
B28029|Rainbow DSB|410918|Northeastern Elementary School|Public|Elementary|English|40|45|60|35|60|60|55|60|60|35||||
B28029|Rainbow DSB|456632|Princess Anne Public School|Public|Elementary|English|45|45|40|35|50|50|55|65|45|45||||
B28029|Rainbow DSB|464309|Queen Elizabeth II Public School|Public|Elementary|English|20|25|30|20|25|25|20|20||||||
B28029|Rainbow DSB|468070|R L Beattie Public School|Public|Elementary|English|80|95|95|105|75|65|75|70||||||
B28029|Rainbow DSB|136964|R. H. Murray Public School|Public|Elementary|English|15|15|15|15|15|<10|<10|15|10|20||||
B28029|Rainbow DSB|479403|Redwood Acres Public School|Public|Elementary|English|25|35|30|35|50|40|50|50||||||
B28029|Rainbow DSB|496154|S Geiger Public School|Public|Elementary|English|15|20|<10|10|<10|10|10|10|10|15||||
B28029|Rainbow DSB|941298|Sudbury Secondary School|Public|Secondary|English|||||||||||95|120|110|170
B28029|Rainbow DSB|569992|Valley View Public School|Public|Elementary|English|70|70|60|60|55|55|50|80|55|60||||
B28029|Rainbow DSB|314935|Walden Public School|Public|Elementary|English|40|50|60|65|55|50|75|65||||||
B28029|Rainbow DSB|602558|Westmount Avenue Public School|Public|Elementary|English|20|35|25|25||||||||||
B28053|Rainy River DSB|892939|Atikokan High School|Public|Secondary|English|||||||||||30|35|25|40
B28053|Rainy River DSB|343404|Atikokan High School Elementary|Public|Elementary|English|||||||||20|20||||
B28053|Rainy River DSB|097209|Crossroads Elementary Public School|Public|Elementary|English|10|10|15|<10|<10|15|15|15|15|<10||||
B28053|Rainy River DSB|141518|Donald Young Public School|Public|Elementary|English|15|20|30|20|30|30|35|35|25|25||||
B28053|Rainy River DSB|596092|Fort Frances High Intermediate|Public|Elementary|English|||||||||90|95||||
B28053|Rainy River DSB|910872|Fort Frances High School|Public|Secondary|English|||||||||||175|180|135|175
B28053|Rainy River DSB|280747|J W Walker Public School|Public|Elementary|English|35|25|25|30|30|35|35|25||||||
B28053|Rainy River DSB|350818|McCrosson-Tovell Public School|Public|Elementary|English||<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B28053|Rainy River DSB|366285|Mine Centre Public School|Public|Elementary|English|<10|<10|<10|<10|<10|10|<10|<10|<10|<10||||
B28053|Rainy River DSB|383058|Nestor Falls Public School|Public|Elementary|English|<10||<10|<10|<10|<10||<10|<10|||||
B28053|Rainy River DSB|500445|North Star Community School|Public|Elementary|English|15|20|15|20|20|20|<10|25||||||
B28053|Rainy River DSB|937657|Rainy River High School|Public|Secondary|English|||||||||||35|30|40|30
B28053|Rainy River DSB|009954|Riverview Elementary School|Public|Elementary|English|<10|15|15|10|15|10|<10|10|15|15||||
B28053|Rainy River DSB|487830|Robert Moore Public School|Public|Elementary|English|35|45|50|50|40|45|45|55||||||
B28053|Rainy River DSB|540005|Sturgeon Creek School|Public|Elementary|English|10|<10|15|15|10|10|<10|10|10|15||||
B67199|Renfrew County CDSB|689939|Bishop Smith Catholic High School|Catholic|Secondary|English|||||||||||180|145|170|180
B67199|Renfrew County CDSB|689343|Bishop Smith Separate School|Catholic|Elementary|English||||||||||150||||
B67199|Renfrew County CDSB|695211|Cathedral Catholic School|Catholic|Elementary|English|<10|15|10|15|15|10|15|20|15|||||
B67199|Renfrew County CDSB|752410|George Vanier Separate School|Catholic|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67199|Renfrew County CDSB|717185|Holy Name Separate School|Catholic|Elementary|English|15|20|15|10|20|10|10|15|15|||||
B67199|Renfrew County CDSB|742147|Our Lady of Fatima Separate School|Catholic|Elementary|English|25|30|30|25|30|30|40|30|40|||||
B67199|Renfrew County CDSB|744654|Our Lady of Grace Separate School|Catholic|Elementary|English|<10|10|<10|<10|<10|<10|<10|10|<10|||||
B67199|Renfrew County CDSB|745910|Our Lady of Lourdes Separate School|Catholic|Elementary|English|50|35|50|45|35|30|30|40|40|||||
B67199|Renfrew County CDSB|748129|Our Lady of Sorrows Separate School|Catholic|Elementary|English|40|35|30|40|30|35|30|35|25|||||
B67199|Renfrew County CDSB|769185|St Andrew's Separate School|Catholic|Elementary|English|<10|15|15|10|10|10|15|10|10|15||||
B67199|Renfrew County CDSB|774251|St Anthony's Separate School|Catholic|Elementary|English|10|10|10|15|15|15|<10|<10|<10|<10||||
B67199|Renfrew County CDSB|753580|St Francis of Assisi Catholic School|Catholic|Elementary|English|55|35|50|35|40|35|35|30|30|||||
B67199|Renfrew County CDSB|798568|St James Separate School|Catholic|Elementary|English|15|15|<10|15|15|10|10|10|10|<10||||
B67199|Renfrew County CDSB|802980|St John Bosco Separate School|Catholic|Elementary|English|20|25|20|15|15|20|15|20|10|20||||
B67199|Renfrew County CDSB|814962|St Joseph's High School|Catholic|Secondary|English|||||||||||100|125|95|155
B67199|Renfrew County CDSB|806382|St Joseph's Separate School|Catholic|Elementary|English|10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67199|Renfrew County CDSB|806234|St Joseph's Separate School|Catholic|Elementary|English|35|45|40|30|30|40|40|25|65|45||||
B67199|Renfrew County CDSB|829501|St Mary's Our Lady of Good Counsel Separate School|Catholic|Elementary|English|20|15|25|25|15|30|30|25|30|15||||
B67199|Renfrew County CDSB|835226|St Michael's Separate School|Catholic|Elementary|English|10|10|15|<10|<10|20|20|15|25|10||||
B67199|Renfrew County CDSB|856410|St Thomas the Apostle Separate School|Catholic|Elementary|English|25|30|30|30|35|25|30|25|25|||||
B67199|Renfrew County CDSB|724076|St. John XXIII Separate School|Catholic|Elementary|English|40|35|40|35|35|30|30|40||||||
B67199|Renfrew County CDSB|854186|St. Joseph's Separate School|Catholic|Elementary|English||||||||||80||||
B66214|Renfrew County DSB|018830|A J Charbonneau Elementary Public School|Public|Elementary|English|20|20|20|20|15|30|20|25|35|30||||
B66214|Renfrew County DSB|002305|Admaston Township Public School|Public|Elementary|English|20|20|20|10|10|20|15|10||||||
B66214|Renfrew County DSB|892416|Arnprior District High School|Public|Secondary|English|||||||||||140|145|145|150
B66214|Renfrew County DSB|037648|Beachburg Public School|Public|Elementary|English|25|30|20|25|20|20|25|20|20|15||||
B66214|Renfrew County DSB|093157|Central Public School|Public|Elementary|English|30|20|30|30|25|30|20|30||||||
B66214|Renfrew County DSB|100757|Champlain Discovery Public School|Public|Elementary|English|40|45|45|50|45|45|40|40|40|40||||
B66214|Renfrew County DSB|113956|Cobden District Public School|Public|Elementary|English|40|35|35|25|50|40|35|35|30|45||||
B66214|Renfrew County DSB|167380|Eganville & District Public School|Public|Elementary|English|35|40|45|40|35|40|30|30|50|50||||
B66214|Renfrew County DSB|925365|Fellowes High School|Public|Secondary|English|||||||||||125|150|145|215
B66214|Renfrew County DSB|253472|Herman Street Public School|Public|Elementary|English|55|60|55|55|40|35|30|30|20|20||||
B66214|Renfrew County DSB|256307|Highview Public School|Public|Elementary|English|40|30|40|40|40|45|50|50|50|50||||
B66214|Renfrew County DSB|291790|Killaloe Public School|Public|Elementary|English|10|15|10|10|15|<10|10|15|<10|10||||
B66214|Renfrew County DSB|291404|Mackenzie Community School - Elementary School|Public|Elementary|English|40|50|40|40|35|30|45|30|40|40||||
B66214|Renfrew County DSB|904767|Mackenzie Community School - Secondary School|Public|Secondary|English|||||||||||60|60|60|85
B66214|Renfrew County DSB|924431|Madawaska Valley District High School|Public|Secondary|English|||||||||||60|80|95|90
B66214|Renfrew County DSB|355224|McNab Public School|Public|Elementary|English|25|30|25|20|20|25|30|35|25|20||||
B66214|Renfrew County DSB|932434|Opeongo High School|Public|Secondary|English|||||||||||80|100|90|110
B66214|Renfrew County DSB|469114|Palmer Rapids Public School|Public|Elementary|English|10|10|<10|<10|15|<10|10|15|10|10||||
B66214|Renfrew County DSB|444677|Pine View Public School|Public|Elementary|English|15|10|15|10|15|15|20|20|20|20||||
B66214|Renfrew County DSB|462489|Queen Elizabeth Public School|Public|Elementary|English|30|25|25|15|25|25|35|40||||||
B66214|Renfrew County DSB|937916|Renfrew Collegiate Institute|Public|Secondary|English|||||||||||75|70|85|110
B66214|Renfrew County DSB|193735|Renfrew Collegiate Intermediate School|Public|Elementary|English|||||||||80|60||||
B66214|Renfrew County DSB|937983|Renfrew County Adult Day School|Public|Secondary|English||||||||||||<10|30|75
B66214|Renfrew County DSB|011770|Rockwood Public School|Public|Elementary|English|35|30|35|40|40|45|50|45|35|50||||
B66214|Renfrew County DSB|032700|Sherwood Public School|Public|Elementary|English|<10|<10|10|<10|<10|<10|<10|<10|<10|<10||||
B66214|Renfrew County DSB|123885|Valour JK to 12 School - Elementary School|Public|Elementary|English|80|75|90|90|85|90|80|80|85|75||||
B66214|Renfrew County DSB|902747|Valour JK to 12 School - Secondary School|Public|Secondary|English|||||||||||115|105|95|120
B66214|Renfrew County DSB|090557|Walter Zadow Public School|Public|Elementary|English|45|55|50|45|35|60|40|45|55|50||||
B66214|Renfrew County DSB|605492|Whitney Public School|Public|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B66109|Simcoe County DSB|002933|Adjala Central Public School|Public|Elementary|English|20|30|20|20|20|25|25|30|35|20||||
B66109|Simcoe County DSB|003131|Admiral Collingwood Elementary School|Public|Elementary|English|25|30|35|35|40|35|85|60|80|90||||
B66109|Simcoe County DSB|277495|Alcona Glen Elementary School|Public|Elementary|English|75|85|55|70|80|65|70|75|70|70||||
B66109|Simcoe County DSB|011584|Algonquin Ridge Elementary School|Public|Elementary|English|40|40|50|45|55|55|55|60|50|50||||
B66109|Simcoe County DSB|012971|Allandale Heights Public School|Public|Elementary|English|35|45|40|30|35|25|25|30|35|30||||
B66109|Simcoe County DSB|186666|Alliston Union Public School|Public|Elementary|English|50|65|45|40|55|45|80|80|85|85||||
B66109|Simcoe County DSB|305731|Andrew Hunter Elementary School|Public|Elementary|English|35|40|45|20|35|45|35|45|40|35||||
B66109|Simcoe County DSB|186236|Angus Morrison Elementary School|Public|Elementary|English|85|80|90|80|70|80|60|75|60|50||||
B66109|Simcoe County DSB|505808|Ardagh Bluffs Public School|Public|Elementary|English|55|60|40|50|40|50|80|75|95|90||||
B66109|Simcoe County DSB|314617|Assikinack Public School|Public|Elementary|English|35|35|30|40|35|35|30|35|25|25||||
B66109|Simcoe County DSB|893064|Banting Memorial District High School|Public|Secondary|English|||||||||||370|385|340|335
B66109|Simcoe County DSB|893323|Barrie North Collegiate Institute|Public|Secondary|English|||||||||||305|235|275|330
B66109|Simcoe County DSB|034762|Baxter Central Public School|Public|Elementary|English|20|30|25|20|20|35|25|25|40|25||||
B66109|Simcoe County DSB|037125|Bayview Public School|Public|Elementary|English|35|40|35|40|20|45|40|30|40|45||||
B66109|Simcoe County DSB|894060|Bear Creek Secondary School|Public|Secondary|English|||||||||||380|420|380|440
B66109|Simcoe County DSB|032298|Birchview Dunes Elementary School|Public|Elementary|English|65|85|60|70|65|60|85|50|85|85||||
B66109|Simcoe County DSB|028130|Boyne River Public School|Public|Elementary|English|65|85|60|70|60|60|45|65|60|50||||
B66109|Simcoe County DSB|895792|Bradford District High School|Public|Secondary|English|||||||||||310|290|300|280
B66109|Simcoe County DSB|060445|Brechin Public School|Public|Elementary|English|10|10|10|20|15|15|30|20|25|25||||
B66109|Simcoe County DSB|071960|Byng Public School|Public|Elementary|English|20|15|25|10|25|25|20|30||||||
B66109|Simcoe County DSB|080268|Cameron Street Public School|Public|Elementary|English|45|50|65|65|75|80|35|40|30|40||||
B66109|Simcoe County DSB|456756|Chris Hadfield Public School|Public|Elementary|English|90|115|95|90|95|80|70|75|75|75||||
B66109|Simcoe County DSB|111465|Clearview Meadows Elementary School|Public|Elementary|English|25|35|15|35|20|30|30|15||||||
B66109|Simcoe County DSB|114472|Codrington Public School|Public|Elementary|English|25|30|20|25|25|30|35|30|30|40||||
B66109|Simcoe County DSB|116815|Coldwater Public School|Public|Elementary|English|45|40|45|35|45|45|40|45|45|60||||
B66109|Simcoe County DSB|902551|Collingwood Collegiate Institute|Public|Secondary|English|||||||||||335|335|370|365
B66109|Simcoe County DSB|383708|Connaught Public School|Public|Elementary|English|20|25|20|25|25|20|35|30|15|20||||
B66109|Simcoe County DSB|185973|Cookstown Central Public School|Public|Elementary|English|45|40|45|50|60|55|70|70|70|70||||
B66109|Simcoe County DSB|125482|Couchiching Heights Public School|Public|Elementary|English|30|25|25|20|30|20|40|25|35|35||||
B66109|Simcoe County DSB|130893|Cundles Heights Public School|Public|Elementary|English|45|35|25|30|35|30|35|35|30|25||||
B66109|Simcoe County DSB|160172|East Oro Public School|Public|Elementary|English|25|35|30|35|20|25|25|30|25|25||||
B66109|Simcoe County DSB|907383|Eastview Secondary School|Public|Secondary|English|||||||||||290|325|340|410
B66109|Simcoe County DSB|908274|Elmvale District High School|Public|Secondary|English|||||||||||105|100|100|95
B66109|Simcoe County DSB|402811|Elmvale District High School 7-8|Public|Elementary|English|||||||||50|70||||
B66109|Simcoe County DSB|181323|Emma King Elementary School|Public|Elementary|English|40|45|30|40|35|35|45|40|40|35||||
B66109|Simcoe County DSB|181757|Ernest Cumberland Elementary School|Public|Elementary|English|50|65|80|75|75|80|45|40|50|50||||
B66109|Simcoe County DSB|195812|Ferndale Woods Elementary School|Public|Elementary|English|65|55|80|90|80|95|45|50|40|55||||
B66109|Simcoe County DSB|384550|Fieldcrest Elementary School|Public|Elementary|English|95|95|85|90|90|90|85|85|80|80||||
B66109|Simcoe County DSB|201464|Forest Hill Public School|Public|Elementary|English|50|60|70|60|60|60|70|75|80|65||||
B66109|Simcoe County DSB|073065|Fred C Cook Public School|Public|Elementary|English|50|50|50|65|35|55|50|50|50|45||||
B66109|Simcoe County DSB|928151|Georgian Bay District Secondary School|Public|Secondary|English|||||||||||210|225|195|175
B66109|Simcoe County DSB|221740|Goodfellow Public School|Public|Elementary|English|60|60|60|70|65|65|75|75|75|55||||
B66109|Simcoe County DSB|233480|Guthrie Public School|Public|Elementary|English|70|55|60|50|45|50|35|50|45|45||||
B66109|Simcoe County DSB|244996|Harriett Todd Public School|Public|Elementary|English|45|55|60|75|60|65|55|30|35|40||||
B66109|Simcoe County DSB|485183|Hewitt's Creek Public School|Public|Elementary|English|60|75|65|70|75|65|70|65|75|65||||
B66109|Simcoe County DSB|257346|Hillcrest Public School|Public|Elementary|English|55|55|75|80|70|80|40|30|30|40||||
B66109|Simcoe County DSB|595047|Hillsdale Elementary School|Public|Elementary|English|15|35|20|10|20|20|25|25|30|15||||
B66109|Simcoe County DSB|263079|Holly Meadows Elementary School|Public|Elementary|English|50|55|55|55|60|65|50|70|70|80||||
B66109|Simcoe County DSB|595861|Hon Earl Rowe Public School|Public|Elementary|English|25|15|20|20|15|25|15|15|20|15||||
B66109|Simcoe County DSB|273988|Huron Park Public School|Public|Elementary|English|35|40|20|30|35|40|75|65|50|45||||
B66109|Simcoe County DSB|274542|Huronia Centennial Public School|Public|Elementary|English|40|55|50|40|45|70|70|55||||||
B66109|Simcoe County DSB|225946|Hyde Park Public School|Public|Elementary|English|55|70|55|65|70|65|80|65|70|50||||
B66109|Simcoe County DSB|918253|Innisdale Secondary School|Public|Secondary|English|||||||||||430|420|415|435
B66109|Simcoe County DSB|275670|Innisfil Central Public School|Public|Elementary|English|25|15|25|20|20|30|20|20|15|25||||
B66109|Simcoe County DSB|124761|James Keating Public School|Public|Elementary|English|20|25|25|20|30|30|35|15|25|30||||
B66109|Simcoe County DSB|285684|Johnson Street Public School|Public|Elementary|English|25|25|20|15|25|30|15|20|20|20||||
B66109|Simcoe County DSB|311251|Killarney Beach Public School|Public|Elementary|English|35|45|25|35|30|40|30|30|35|25||||
B66109|Simcoe County DSB|034808|Lake Simcoe Public School|Public|Elementary|English|50|65|40|50|35|55|50|50|55|55||||
B66109|Simcoe County DSB|087934|Lions Oval Public School|Public|Elementary|English|45|55|45|45|50|40|55|40|40|30||||
B66109|Simcoe County DSB|334820|Maple Grove Public School|Public|Elementary|English|50|50|50|50|40|50|55|45|60|40||||
B66109|Simcoe County DSB|336289|Mapleview Heights Elementary School|Public|Elementary|English|50|45|60|50|55|50|50|65|75|75||||
B66109|Simcoe County DSB|337862|Marchmont Public School|Public|Elementary|English|35|35|30|35|35|35|35|45|25|55||||
B66109|Simcoe County DSB|366544|Minesing Central Public School|Public|Elementary|English|35|35|35|40|55|40|40|65|60|60||||
B66109|Simcoe County DSB|378089|Mountain View Public School|Public|Elementary|English|35|30|25|40|35|35|45|35|40|55||||
B66109|Simcoe County DSB|466951|Mundy's Bay Elementary Public School|Public|Elementary|English|45|50|70|60|50|70|35|40|40|55||||
B66109|Simcoe County DSB|927724|Nantyr Shores Secondary School|Public|Secondary|English|||||||||||310|315|305|305
B66109|Simcoe County DSB|384259|New Lowell Central Public School|Public|Elementary|English|35|35|30|30|25|20|25|20|30|25||||
B66109|Simcoe County DSB|412430|Nottawa Elementary School|Public|Elementary|English|30|30|20|30|35|35|35|25|30|30||||
B66109|Simcoe County DSB|902636|Nottawasaga Pines Secondary School|Public|Secondary|English|||||||||||185|165|170|210
B66109|Simcoe County DSB|412570|Nottawasaga and Creemore Public School|Public|Elementary|English|35|25|15|30|20|20|30|20|20|20||||
B66109|Simcoe County DSB|414123|Oakley Park Public School|Public|Elementary|English|20|30|45|45|50|45|45|45|15|20||||
B66109|Simcoe County DSB|419346|Orchard Park Elementary School|Public|Elementary|English|65|50|45|35|55|50|45|60|60|45||||
B66109|Simcoe County DSB|968729|Orillia Secondary School|Public|Secondary|English|||||||||||275|290|260|295
B66109|Simcoe County DSB|122092|Pine River Elementary School|Public|Elementary|English|50|30|40|35|40|30|30|45|40|30||||
B66109|Simcoe County DSB|451649|Portage View Public School|Public|Elementary|English|55|55|40|40|40|45|80|75|80|90||||
B66109|Simcoe County DSB|472360|Rama Central Public School|Public|Elementary|English|20|20|20|20|25|15|20|20|20|25||||
B66109|Simcoe County DSB|480037|Regent Park Public School|Public|Elementary|English|25|40|35|40|45|35|80|75|60|65||||
B66109|Simcoe County DSB|636037|Severn Shores Public School|Public|Elementary|English|35|50|45|50|40|45|40|40|40|35||||
B66109|Simcoe County DSB|507946|Shanty Bay Public School|Public|Elementary|English|15|15|20|15|15|15|15|15|15|<10||||
B66109|Simcoe County DSB|917231|Simcoe Shores Secondary School|Public|Secondary|English|||||||||||<10|20|115|405
B66109|Simcoe County DSB|595993|Sir William Osler Public School|Public|Elementary|English|15|10|15|10|<10|15|15|20|15|20||||
B66109|Simcoe County DSB|945196|Stayner Collegiate Institute|Public|Secondary|English|||||||||||65|90|60|70
B66109|Simcoe County DSB|110418|Stayner Collegiate Institute 7-8|Public|Elementary|English|||||||||50|65||||
B66109|Simcoe County DSB|535281|Steele Street Public School|Public|Elementary|English|35|30|35|35|35|30|40|40|45|40||||
B66109|Simcoe County DSB|543438|Sunnybrae Public School|Public|Elementary|English|35|30|40|30|30|45|40|40|50|30||||
B66109|Simcoe County DSB|574287|Tay Shores Public School|Public|Elementary|English|55|60|65|60|55|60|55|50|45|50||||
B66109|Simcoe County DSB|040509|Tecumseth Beeton Elementary School|Public|Elementary|English|25|25|30|25|20|30|40|35|30|35||||
B66109|Simcoe County DSB|521248|Tecumseth South Central Public School|Public|Elementary|English|20|20|20|10|25|15|15|30|10|15||||
B66109|Simcoe County DSB|551090|Terry Fox Elementary School|Public|Elementary|English|50|55|45|50|55|50|55|50|60|65||||
B66109|Simcoe County DSB|557897|Tosorontio Central Public School|Public|Elementary|English|40|50|45|35|35|30|30|30|50|35||||
B66109|Simcoe County DSB|559075|Tottenham Public School|Public|Elementary|English|50|65|50|40|40|45|40|45|35|40||||
B66109|Simcoe County DSB|547123|Trillium Woods Elementary Public School|Public|Elementary|English|60|70|50|50|60|50|55|50|55|45||||
B66109|Simcoe County DSB|948870|Twin Lakes Secondary School|Public|Secondary|English|||||||||||200|195|215|190
B66109|Simcoe County DSB|337030|Uptergrove Public School|Public|Elementary|English|25|35|20|30|20|30|30|30|30|30||||
B66109|Simcoe County DSB|579190|W. C. Little Elementary School|Public|Elementary|English|60|70|55|60|55|65|65|50|60|60||||
B66109|Simcoe County DSB|585599|W. H. Day Elementary School|Public|Elementary|English|50|70|90|80|95|75|85|75|80|80||||
B66109|Simcoe County DSB|580520|W. R. Best Memorial Public School|Public|Elementary|English|35|25|45|30|35|30|50|50|45|40||||
B66109|Simcoe County DSB|357316|Warminster Elementary School|Public|Elementary|English|30|20|25|30|20|25|30|25|20|20||||
B66109|Simcoe County DSB|586846|Warnica Public School|Public|Elementary|English|||40|30|40|40|45|30|55|45||||
B66109|Simcoe County DSB|594970|West Bayfield Elementary School|Public|Elementary|English|45|55|45|60|65|45|55|50|50|55||||
B66109|Simcoe County DSB|612405|Willow Landing Elementary School|Public|Elementary|English|55|65|55|45|55|55|65|55|70|60||||
B66109|Simcoe County DSB|429619|Worsley Elementary School|Public|Elementary|English|45|65|65|75|60|85|60|70|70|60||||
B66109|Simcoe County DSB|622028|Wyevale Central Public School|Public|Elementary|English|30|35|25|25|35|30|35|20|25|25||||
B67091|Simcoe Muskoka CDSB|693634|Canadian Martyrs Catholic School|Catholic|Elementary|English|15|15|15|20|20|20|30|20|30|30||||
B67091|Simcoe Muskoka CDSB|706930|Father F X O'Reilly School|Catholic|Elementary|English|65|60|60|60|50|55|55|50|50|40||||
B67091|Simcoe Muskoka CDSB|729663|Foley Catholic School|Catholic|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67091|Simcoe Muskoka CDSB|720518|Holy Cross Catholic School|Catholic|Elementary|English|55|65|65|65|55|85|50|60|55|55||||
B67091|Simcoe Muskoka CDSB|716413|Holy Family School|Catholic|Elementary|English|50|45|45|45|55|45|55|40|40|60||||
B67091|Simcoe Muskoka CDSB|711098|Holy Trinity Catholic High School|Catholic|Secondary|English|||||||||||195|205|175|155
B67091|Simcoe Muskoka CDSB|732303|Monsignor Castex Separate School|Catholic|Elementary|English|15|20|15|20|20|20|25|30|20|20||||
B67091|Simcoe Muskoka CDSB|732311|Monsignor Clair Separate School|Catholic|Elementary|English|15|20|20|15|15|25|25|25|25|35||||
B67091|Simcoe Muskoka CDSB|733563|Monsignor J E Ronan Catholic School|Catholic|Elementary|English|60|55|60|45|40|55|35|45|35|45||||
B67091|Simcoe Muskoka CDSB|732354|Monsignor Lee Separate School|Catholic|Elementary|English|45|30|30|45|20|40|35|50|40|25||||
B67091|Simcoe Muskoka CDSB|733520|Monsignor Michael O'Leary School|Catholic|Elementary|English|30|30|30|35|30|35|35|40|35|35||||
B67091|Simcoe Muskoka CDSB|737372|Notre Dame Catholic School|Catholic|Elementary|English|50|40|50|40|60|60|60|65|55|55||||
B67091|Simcoe Muskoka CDSB|744611|Our Lady of Grace School|Catholic|Elementary|English|60|90|80|75|80|65|60|70|55|60||||
B67091|Simcoe Muskoka CDSB|745391|Our Lady of Lourdes Separate School|Catholic|Elementary|English|20|15|15|25|25|20|30|20|20|20||||
B67091|Simcoe Muskoka CDSB|723630|Our Lady of the Bay Catholic High School|Catholic|Secondary|English|||||||||||110|115|125|130
B67091|Simcoe Muskoka CDSB|751103|Patrick Fogarty Catholic Secondary School|Catholic|Secondary|English|||||||||||175|170|215|185
B67091|Simcoe Muskoka CDSB|756962|Sacred Heart School|Catholic|Elementary|English|20|15|15|25|20|10|25|15|15|20||||
B67091|Simcoe Muskoka CDSB|808007|Saint Gabriel the Archangel Catholic School|Catholic|Elementary|English|35|55|50|50|55|70|70|70|60|80||||
B67091|Simcoe Muskoka CDSB|714208|Saint Mary's School|Catholic|Elementary|English|20|20|15|25|25|15|35|20|30|30||||
B67091|Simcoe Muskoka CDSB|516651|Sister Catherine Donnelly Catholic School|Catholic|Elementary|English|30|30|25|20|30|30|35|40|40|45||||
B67091|Simcoe Muskoka CDSB|685145|St Angela Merici Catholic Elementary School|Catholic|Elementary|English|65|80|80|80|80|60|85|70|70|50||||
B67091|Simcoe Muskoka CDSB|770655|St Ann's Separate School|Catholic|Elementary|English|15|10|10|10|10|10|15|15|15|15||||
B67091|Simcoe Muskoka CDSB|775061|St Antoine Daniel Catholic School|Catholic|Elementary|English|25|30|20|45|20|35|30|25|30|35||||
B67091|Simcoe Muskoka CDSB|777935|St Bernadette Elementary School|Catholic|Elementary|English|25|20|30|30|35|35|40|35|40|35||||
B67091|Simcoe Muskoka CDSB|779849|St Bernard's Separate School|Catholic|Elementary|English|10|25|15|20|15|15|20|15|25|25||||
B67091|Simcoe Muskoka CDSB|781487|St Catherine of Siena School|Catholic|Elementary|English|60|45|45|50|50|45|50|60|65|60||||
B67091|Simcoe Muskoka CDSB|782130|St Charles School|Catholic|Elementary|English|40|25|25|35|20|20|25|20|20|20||||
B67091|Simcoe Muskoka CDSB|786691|St Dominic Catholic Secondary School|Catholic|Secondary|English|||||||||||55|60|40|60
B67091|Simcoe Muskoka CDSB|790044|St Francis of Assisi Elementary School|Catholic|Elementary|English|35|40|40|45|55|45|45|65|50|45||||
B67091|Simcoe Muskoka CDSB|798436|St James Separate School|Catholic|Elementary|English|25|20|25|30|20|30|30|30|15|25||||
B67091|Simcoe Muskoka CDSB|809179|St Jean de Brebeuf Separate School|Catholic|Elementary|English|30|25|20|20|35|25|20|25|20|20||||
B67091|Simcoe Muskoka CDSB|801275|St Joan of Arc High School|Catholic|Secondary|English|||||||||||255|235|270|295
B67091|Simcoe Muskoka CDSB|805840|St John Vianney Separate School|Catholic|Elementary|English|20|25|25|20|30|25|25|20|15|20||||
B67091|Simcoe Muskoka CDSB|813389|St Joseph's Separate School|Catholic|Secondary|English|||||||||||180|235|200|245
B67091|Simcoe Muskoka CDSB|822566|St Marguerite d'Youville Elementary School|Catholic|Elementary|English|25|25|35|25|30|30|30|25|30|25||||
B67091|Simcoe Muskoka CDSB|828335|St Marys - Barrie Separate School|Catholic|Elementary|English|15|15|15|15|15|25|20|25|10|15||||
B67091|Simcoe Muskoka CDSB|829374|St Marys - Collingwood Separate School|Catholic|Elementary|English|35|40|45|40|45|45|55|40|65|45||||
B67091|Simcoe Muskoka CDSB|833061|St Michael the Archangel Catholic Elementary School|Catholic|Elementary|English|20|30|30|20|30|35|45|35|25|45||||
B67091|Simcoe Muskoka CDSB|835749|St Monicas Separate School|Catholic|Elementary|English|35|30|40|30|25|40|40|45|40|45||||
