Board Number|Board Name|School Number|School Name|School Type|School Level|School Language|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment
B66010|Avon Maitland DSB|285535|Little Falls Public School|Public|Elementary|English|60|50|60|60|60|60|55|60||||||
B66010|Avon Maitland DSB|517103|Maitland River Elementary Public School|Public|Elementary|English|50|50|65|50|65|65|65|65||||||
B66010|Avon Maitland DSB|366021|Milverton Public School|Public|Elementary|English|25|25|30|30|30|35|30|30|20|25||||
B66010|Avon Maitland DSB|135064|Mitchell District Elementary Public School|Public|Elementary|English|||||||||90|90||||
B66010|Avon Maitland DSB|927120|Mitchell District High School|Public|Secondary|English|||||||||||65|80|75|95
B66010|Avon Maitland DSB|372781|Mornington Central Public School|Public|Elementary|English|<10|25|30|20|25|25|25|25|20|20||||
B66010|Avon Maitland DSB|406040|North Easthope Public School|Public|Elementary|English|15|15|15|15|20|10|20|20|15|20||||
B66010|Avon Maitland DSB|459441|North Perth Westfield Elementary School|Public|Elementary|English|55|70|50|45|45|60|55|50|100|95||||
B66010|Avon Maitland DSB|578519|North Woods Elementary School|Public|Elementary|English|15|20|20|20|20|15|20|10||||||
B66010|Avon Maitland DSB|490040|Romeo Public School|Public|Elementary|English|10|15|10|15|15|15|25|15||||||
B66010|Avon Maitland DSB|504475|Seaforth Public School|Public|Elementary|English|25|25|35|25|35|25|30|30|35|30||||
B66010|Avon Maitland DSB|507725|Shakespeare Public School|Public|Elementary|English|20|30|15|20|25|20|25|15||||||
B66010|Avon Maitland DSB|943118|South Huron District High School|Public|Secondary|English|||||||||||120|110|105|120
B66010|Avon Maitland DSB|469900|South Huron Elementary Public School|Public|Elementary|English|||||||||90|85||||
B66010|Avon Maitland DSB|523267|South Perth Centennial Public School|Public|Elementary|English|15|25|15|20|15|10|15|20|15|15||||
B66010|Avon Maitland DSB|528650|Sprucedale Public School|Public|Elementary|English|10|20|15|20|25|25|20|15|15|20||||
B66010|Avon Maitland DSB|944807|St Marys D.C. & V. I. High School|Public|Secondary|English|||||||||||105|100|100|135
B66010|Avon Maitland DSB|100438|St Marys D.C. & V.I. - Elementary Elementary Public School|Public|Elementary|English|||||||||70|60||||
B66010|Avon Maitland DSB|535508|Stephen Central Public School|Public|Elementary|English|15|20|25|20|20|15|30|25||||||
B66010|Avon Maitland DSB|531090|Stratford Northwestern Public School|Public|Elementary|English|||||||||225|215||||
B66010|Avon Maitland DSB|945714|Stratford Northwestern Secondary School|Public|Secondary|English|||||||||||285|320|320|455
B66010|Avon Maitland DSB|566667|Upper Thames Elementary School|Public|Elementary|English|75|65|60|80|65|75|75|80||||||
B66001|Bluewater DSB|010472|Alexandra Community School|Public|Elementary|English|30|25|35|20|30|15|25|25|20|25||||
B66001|Bluewater DSB|011606|Amabel-Sauble Community School|Public|Elementary|English|20|15|15|20|20|15|15|15|15|15||||
B66001|Bluewater DSB|022322|Arran Tara Elementary School|Public|Elementary|English|35|40|35|40|35|55|35|35|45|30||||
B66001|Bluewater DSB|552585|Beaver Valley Community School|Public|Elementary|English|50|60|55|60|50|65|60|55|60|45||||
B66001|Bluewater DSB|340804|Beavercrest Community School|Public|Elementary|English|10|30|25|20|25|25|25|15|15|15||||
B66001|Bluewater DSB|896969|Bruce Peninsula District School|Public|Secondary|English|||||||||||25|20|15|20
B66001|Bluewater DSB|067709|Bruce Peninsula District School|Public|Elementary|English|15|10|15|20|20|20|25|25|25|20||||
B66001|Bluewater DSB|169200|Chesley District Community School|Public|Elementary|English|30|35|30|40|35|30|30|40|30|25||||
B66001|Bluewater DSB|135143|Dawnview Public School|Public|Elementary|English|25|30|35|30|25|25|25|25||||||
B66001|Bluewater DSB|458554|Dundalk & Proton Community School|Public|Elementary|English|50|75|55|60||||||||||
B66001|Bluewater DSB|331307|East Ridge Community School|Public|Elementary|English|70|75|80|90|95|90|75|90|95|70||||
B66001|Bluewater DSB|167649|Egremont Community School|Public|Elementary|English|25|25|20|20|25|25|20|20|15|25||||
B66001|Bluewater DSB|293776|Elgin Market Public School|Public|Elementary|English|45|40|40|40|25|35|30|25||||||
B66001|Bluewater DSB|524239|G C Huston Public School|Public|Elementary|English|35|40|40|35|30|35|35|45|25|20||||
B66001|Bluewater DSB|180789|Georgian Bay Community School|Public|Elementary|English||||||65|60|65|60|65||||
B66001|Bluewater DSB|925438|Georgian Bay Community School Secondary School|Public|Secondary|English|||||||||||60|80|80|95
B66001|Bluewater DSB|914444|Grey Highlands Secondary School|Public|Secondary|English|||||||||||140|140|140|190
B66001|Bluewater DSB|281131|Hanover Heights Community School|Public|Elementary|English|45|30|45|40|45|45|50|60||||||
B66001|Bluewater DSB|253316|Hepworth Central Public School|Public|Elementary|English|40|35|40|30|35|35|35|35|30|40||||
B66001|Bluewater DSB|152820|Highpoint Community Elementary School|Public|Elementary|English|||||65|55|55|65|55|50||||
B66001|Bluewater DSB|257168|Hillcrest Central School|Public|Elementary|English|<10|15|15|10|15|<10|10|15|<10|<10||||
B66001|Bluewater DSB|257869|Hillcrest Elementary School|Public|Elementary|English|45|30|35|50|35|65|60|60|115|120||||
B66001|Bluewater DSB|262935|Holland-Chatsworth Central School|Public|Elementary|English|35|25|25|30|30|30|25|20|30|20||||
B66001|Bluewater DSB|273775|Huron Heights Public School|Public|Elementary|English|||||65|80|65|70||||||
B66001|Bluewater DSB|915556|John Diefenbaker Senior School|Public|Secondary|English|||||||||||150|145|130|200
B66001|Bluewater DSB|007681|John Diefenbaker Senior School|Public|Elementary|English|||||||||80|75||||
B66001|Bluewater DSB|291030|Keppel-Sarawak Elementary School|Public|Elementary|English|50|30|55|40|65|40|45|35||||||
B66001|Bluewater DSB|919454|Kincardine District Secondary School|Public|Secondary|English|||||||||||120|125|125|140
B66001|Bluewater DSB|151668|Kincardine District Senior School|Public|Elementary|English|||||||||80|80||||
B66001|Bluewater DSB|293750|Kincardine Township-Tiverton Public School|Public|Elementary|English|60|70|70|80||||||||||
B66001|Bluewater DSB|323900|Lucknow Central Public School|Public|Elementary|English|15|20|20|10|20|15|10|10|15|<10||||
B66001|Bluewater DSB|198978|Macphail Memorial Elementary School|Public|Elementary|English|60|50|55|60|60|55|55|55|65|45||||
B66001|Bluewater DSB|364290|Mildmay-Carrick Central School|Public|Elementary|English|20|20|15|20|15|20|10|20|20|20||||
B66001|Bluewater DSB|401129|Normanby Community School|Public|Elementary|English|20|25|15|30|10|20|20|15|20|20||||
B66001|Bluewater DSB|403741|Northport Elementary School|Public|Elementary|English|50|55|50|50|50|55|45|55||||||
B66001|Bluewater DSB|093939|Osprey Central School|Public|Elementary|English|30|35|45|35|35|35|45|40|35|40||||
B66001|Bluewater DSB|951692|Owen Sound District Secondary School Secondary School|Public|Secondary|English|||||||||||290|265|265|375
B66001|Bluewater DSB|431028|Paisley Central School|Public|Elementary|English|20|20|15|<10|10|<10|<10|20|10|15||||
B66001|Bluewater DSB|605743|Peninsula Shores District School|Public|Elementary|English|35|35|25|20|35|35|40|40|15|30||||
B66001|Bluewater DSB|953253|Peninsula Shores District School|Public|Secondary|English|||||||||||40|35|40|45
B66001|Bluewater DSB|450910|Port Elgin-Saugeen Central School|Public|Elementary|English|85|90|75|70|75|75|55|80||||||
B66001|Bluewater DSB|484970|Ripley-Huron Community - Junior Campus School|Public|Elementary|English|35|25|30|35|20|25|30|20|45|25||||
B66001|Bluewater DSB|940127|Saugeen District Secondary School|Public|Secondary|English|||||||||||160|145|110|180
B66001|Bluewater DSB|290604|Saugeen District Senior School|Public|Elementary|English|||||||||105|130||||
B66001|Bluewater DSB|155683|Spruce Ridge Community School|Public|Elementary|English|25|30|40|25|40|40|30|40|40|50||||
B66001|Bluewater DSB|529826|St Edmunds Public School|Public|Elementary|English|<10|<10|<10|<10|<10|||||||||
B66001|Bluewater DSB|531146|St Vincent-Euphrasia Elementary School|Public|Elementary|English|55|80|60|75|60|||||||||
B66001|Bluewater DSB|540200|Sullivan Community School|Public|Elementary|English|10|15|10|<10|15|15|10|15|15|15||||
B66001|Bluewater DSB|950262|Walkerton District Community School|Public|Secondary|English|||||||||||95|90|85|120
B66001|Bluewater DSB|569565|Walkerton District Community School|Public|Elementary|English|40|35|35|40|40|35|40|40|55|45||||
B67164|Brant Haldimand Norfolk CDSB|688088|Assumption College School High School|Catholic|Secondary|English|||||||||||375|405|370|410
B67164|Brant Haldimand Norfolk CDSB|690015|Blessed Sacrament School|Catholic|Elementary|English|30|25|30|25|15|20|15|25|20|25||||
B67164|Brant Haldimand Norfolk CDSB|696900|Christ the King School|Catholic|Elementary|English|15|20|20|20|20|25|20|<10|15|20||||
B67164|Brant Haldimand Norfolk CDSB|714453|Holy Cross School|Catholic|Elementary|English|15|20|15|15|20|25|20|25|25|30||||
B67164|Brant Haldimand Norfolk CDSB|716960|Holy Family School|Catholic|Elementary|English|25|20|15|20|15|15|20|15|20|15||||
B67164|Brant Haldimand Norfolk CDSB|720232|Holy Trinity Catholic High School|Catholic|Secondary|English|||||||||||245|245|220|325
B67164|Brant Haldimand Norfolk CDSB|750259|Madonna Della Libera Catholic Elementary School|Catholic|Elementary|English|40|35|45|40|30|40|50|30|25|40||||
B67164|Brant Haldimand Norfolk CDSB|736481|Notre Dame Catholic Catholic Elementary School|Catholic|Elementary|English|30|25|40|20|25|30|25|20|25|30||||
B67164|Brant Haldimand Norfolk CDSB|739200|Notre Dame School|Catholic|Elementary|English|30|40|20|25|45|25|35|35|40|35||||
B67164|Brant Haldimand Norfolk CDSB|743968|Our Lady of Fatima School|Catholic|Elementary|English|<10|<10|10|<10|<10|10|10|15|<10|15||||
B67164|Brant Haldimand Norfolk CDSB|749125|Our Lady of Providence Catholic Elementary School|Catholic|Elementary|English|25|20|20|30|30|30|30|40|35|35||||
B67164|Brant Haldimand Norfolk CDSB|753084|Resurrection School|Catholic|Elementary|English|<10|10|15|15|15|20|15|<10|15|15||||
B67164|Brant Haldimand Norfolk CDSB|762756|Sacred Heart Catholic Elementary School|Catholic|Elementary|English|35|40|40|40|35|35|30|30|35|25||||
B67164|Brant Haldimand Norfolk CDSB|759309|Sacred Heart School|Catholic|Elementary|English|15|15|15|20|10|20|20|20|20|20||||
B67164|Brant Haldimand Norfolk CDSB|751898|St John's College|Catholic|Secondary|English|||||||||||245|275|245|335
B67164|Brant Haldimand Norfolk CDSB|704940|St. Basil Catholic Elementary School|Catholic|Elementary|English|55|45|45|60|55|50|50|50|60|55||||
B67164|Brant Haldimand Norfolk CDSB|779067|St. Bernard of Clairvaux School|Catholic|Elementary|English|20|30|25|15|35|20|20|25|15|20||||
B67164|Brant Haldimand Norfolk CDSB|782050|St. Cecilia's School|Catholic|Elementary|English|15|10|10|10|<10|<10|15|15|20|10||||
B67164|Brant Haldimand Norfolk CDSB|789984|St. Frances Cabrini School|Catholic|Elementary|English|20|35|30|35|30|35|30|35|30|30||||
B67164|Brant Haldimand Norfolk CDSB|793256|St. Gabriel Catholic Catholic Elementary School|Catholic|Elementary|English|25|25|30|45|40|30|50|50|55|45||||
B67164|Brant Haldimand Norfolk CDSB|810827|St. Joseph's School|Catholic|Elementary|English|50|60|60|60|50|40|40|50|45|65||||
B67164|Brant Haldimand Norfolk CDSB|818453|St. Leo School|Catholic|Elementary|English|35|40|55|45|30|35|20|40|25|20||||
B67164|Brant Haldimand Norfolk CDSB|831450|St. Mary's School|Catholic|Elementary|English|20|15|10|10|15|15|10|15|10|10||||
B67164|Brant Haldimand Norfolk CDSB|834831|St. Michael's C School|Catholic|Elementary|English|<10|<10|10|10|<10|10|10|10|10|15||||
B67164|Brant Haldimand Norfolk CDSB|834963|St. Michael's School|Catholic|Elementary|English|20|30|25|30|25|30|25|20|15|20||||
B67164|Brant Haldimand Norfolk CDSB|840530|St. Patrick School|Catholic|Elementary|English|<10|15|15|15|15|<10|15|15|10|15||||
B67164|Brant Haldimand Norfolk CDSB|840556|St. Patrick's School|Catholic|Elementary|English|30|25|15|20|15|20|20|30|20|20||||
B67164|Brant Haldimand Norfolk CDSB|844977|St. Peter School|Catholic|Elementary|English|15|15|15|20|15|15|20|20|25|<10||||
B67164|Brant Haldimand Norfolk CDSB|846791|St. Pius X Catholic Elementary School|Catholic|Elementary|English|25|20|30|25|30|35|30|30|30|35||||
B67164|Brant Haldimand Norfolk CDSB|850950|St. Stephen's School|Catholic|Elementary|English|20|10|<10|15|10|20|<10|15|10|10||||
B67164|Brant Haldimand Norfolk CDSB|853038|St. Theresa School|Catholic|Elementary|English|10|15|15|20|15|25|15|15|15|15||||
B67008|Bruce-Grey CDSB|721255|Ecole Immaculee-Conception Separate School|Catholic|Elementary|English|45|35|35|35|30|25|30|30|25|20||||
B67008|Bruce-Grey CDSB|711985|Holy Family Separate School|Catholic|Elementary|English|30|40|30|20|25|35|35|35|30|20||||
B67008|Bruce-Grey CDSB|710296|Mary Immaculate Community School|Catholic|Elementary|English|10|10|<10|15|10|15|10|<10|15|<10||||
B67008|Bruce-Grey CDSB|737399|Notre Dame Catholic School|Catholic|Elementary|English|||||105|90|100|95|100|90||||
B67008|Bruce-Grey CDSB|759430|Sacred Heart High School|Catholic|Secondary|English|||||||||||165|160|180|170
B67008|Bruce-Grey CDSB|732133|Sacred Heart School|Catholic|Elementary|English|10|15|<10|10|15|15|15|<10|15|10||||
B67008|Bruce-Grey CDSB|864218|Sacred Heart Separate School|Catholic|Elementary|English|<10|<10|<10|<10|<10|<10|<10|15|10|<10||||
B67008|Bruce-Grey CDSB|774332|St Anthony's Separate School|Catholic|Elementary|English|50|55|50|40|50|40|60|45|40|35||||
