School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
862886,2021-2022,Catholic,Elementary,25,25,25,20,25,35,30,35,0,0,0,0,220
762946,2021-2022,Catholic,Elementary,0,0,0,20,35,15,15,30,0,0,0,0,115
707449,2021-2022,Catholic,Elementary,20,20,15,25,20,30,30,35,0,0,0,0,195
738379,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,0,0,0,0,0,70
705970,2021-2022,Catholic,Elementary,50,40,30,45,40,50,50,40,0,0,0,0,345
841490,2021-2022,Catholic,Elementary,20,20,20,15,15,20,25,15,0,0,0,0,150
750518,2021-2022,Catholic,Elementary,0,0,0,0,0,0,15,10,0,0,0,0,25
704717,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,115,125,110,140,490
860919,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,0,0,10,10,20
728772,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,155,160,220,205,740
870503,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,10,10,0,0,20
708500,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,80,55,75,55,265
705438,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,30,25,15,20,90
705101,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,10,10,10,10,40
791601,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,20,25,30,20,95
707015,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,65,80,65,85,295
866569,2021-2022,Catholic,Elementary,0,0,0,0,0,0,35,40,0,0,0,0,75
707880,2021-2022,Catholic,Elementary,60,65,50,45,55,45,0,0,0,0,0,0,320
708054,2021-2022,Catholic,Elementary,45,45,30,35,45,35,25,20,0,0,0,0,280
732400,2021-2022,Catholic,Elementary,55,50,55,50,55,55,40,40,0,0,0,0,400
797359,2021-2022,Catholic,Elementary,35,35,40,30,40,35,35,40,0,0,0,0,290
695025,2021-2022,Catholic,Elementary,0,0,0,0,0,0,130,115,0,0,0,0,245
765865,2021-2022,Catholic,Elementary,0,0,0,0,0,0,40,35,0,0,0,0,75
705349,2021-2022,Catholic,Elementary,45,55,50,55,25,40,35,35,0,0,0,0,340
768138,2021-2022,Catholic,Elementary,15,15,10,10,15,10,10,10,0,0,0,0,95
774901,2021-2022,Catholic,Elementary,15,25,30,20,25,20,20,30,0,0,0,0,185
787515,2021-2022,Catholic,Elementary,35,30,20,35,20,25,30,25,0,0,0,0,220
791288,2021-2022,Catholic,Elementary,15,20,15,10,15,10,10,10,0,0,0,0,105
792187,2021-2022,Catholic,Elementary,0,0,0,0,0,0,30,30,0,0,0,0,60
804150,2021-2022,Catholic,Elementary,25,50,30,35,35,35,25,45,0,0,0,0,280
715539,2021-2022,Catholic,Elementary,60,65,55,45,45,35,0,0,0,0,0,0,305
832626,2021-2022,Catholic,Elementary,40,45,40,55,45,40,30,40,0,0,0,0,335
863009,2021-2022,Catholic,Elementary,10,10,10,10,10,15,10,15,0,0,0,0,90
845639,2021-2022,Catholic,Elementary,10,10,10,10,15,10,10,10,0,0,0,0,85
855375,2021-2022,Catholic,Elementary,20,30,20,35,35,30,0,0,0,0,0,0,170
861170,2021-2022,Catholic,Elementary,15,10,10,15,20,20,55,65,0,0,0,0,210
730327,2021-2022,Catholic,Elementary,45,40,50,45,40,45,0,0,0,0,0,0,265
822540,2021-2022,Catholic,Elementary,50,35,45,40,40,45,0,0,0,0,0,0,255
863394,2021-2022,Catholic,Elementary,35,50,45,55,40,50,45,45,0,0,0,0,365
863726,2021-2022,Catholic,Elementary,20,25,20,20,20,15,10,10,0,0,0,0,140
728659,2021-2022,Catholic,Elementary,25,15,20,15,15,15,15,10,0,0,0,0,130
701777,2021-2022,Catholic,Elementary,35,30,45,30,35,35,0,0,0,0,0,0,210
761907,2021-2022,Catholic,Elementary,55,30,45,55,50,45,40,40,0,0,0,0,360
822786,2021-2022,Catholic,Elementary,0,0,0,0,0,0,20,10,0,0,0,0,30
776182,2021-2022,Catholic,Elementary,10,15,20,20,25,25,20,15,0,0,0,0,150
918090,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,0,0,10,10
69051,2021-2022,Public,Elementary,0,0,0,0,0,0,130,80,0,0,0,0,210
616160,2021-2022,Public,Elementary,0,0,0,0,0,0,10,10,0,0,0,0,20
922609,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,40,45,115,210
907430,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,305,265,270,235,1075
912662,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,185,220,195,195,795
898582,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,25,20,35,105
920550,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,20,35,30,95
907464,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,45,20,80,30,175
907480,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,15,10,15,10,50
949540,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,55,80,80,80,295
904945,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,210,185,175,120,690
901539,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,30,15,10,90
930144,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,50,65,40,65,220
907472,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,25,10,15,80
907421,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,75,95,80,90,340
890139,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,70,35,30,0,135
903237,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,0,0,0,10
409832,2021-2022,Public,Elementary,0,0,0,10,0,10,0,0,0,0,0,0,20
488291,2021-2022,Public,Elementary,50,55,50,50,45,45,15,10,0,0,0,0,320
412597,2021-2022,Public,Elementary,55,70,50,70,70,60,0,0,0,0,0,0,375
230,2021-2022,Public,Elementary,35,35,40,45,35,35,0,0,0,0,0,0,225
79839,2021-2022,Public,Elementary,45,35,35,25,30,25,0,0,0,0,0,0,195
138681,2021-2022,Public,Elementary,0,0,0,0,0,0,185,215,0,0,0,0,400
417726,2021-2022,Public,Elementary,50,40,60,70,50,55,0,0,0,0,0,0,325
419796,2021-2022,Public,Elementary,70,75,60,75,75,85,0,0,0,0,0,0,440
204986,2021-2022,Public,Elementary,55,70,60,65,65,70,0,0,0,0,0,0,385
215970,2021-2022,Public,Elementary,0,0,0,0,0,0,175,215,0,0,0,0,390
194239,2021-2022,Public,Elementary,50,75,50,60,60,70,0,0,0,0,0,0,365
287180,2021-2022,Public,Elementary,55,70,65,65,75,60,50,45,0,0,0,0,485
196502,2021-2022,Public,Elementary,25,20,25,25,20,35,45,30,0,0,0,0,225
302864,2021-2022,Public,Elementary,0,0,0,0,0,0,30,55,0,0,0,0,85
156108,2021-2022,Public,Elementary,55,75,50,80,80,85,0,0,0,0,0,0,425
439568,2021-2022,Public,Elementary,35,30,45,25,25,30,30,15,0,0,0,0,235
540030,2021-2022,Public,Elementary,40,40,65,45,65,65,0,0,0,0,0,0,320
313190,2021-2022,Public,Elementary,0,0,0,0,0,0,60,45,0,0,0,0,105
323187,2021-2022,Public,Elementary,0,0,0,0,0,0,195,210,0,0,0,0,405
242420,2021-2022,Public,Elementary,40,40,40,20,25,15,0,0,0,0,0,0,180
384771,2021-2022,Public,Elementary,65,65,55,65,55,60,0,0,0,0,0,0,365
167811,2021-2022,Public,Elementary,35,20,30,30,20,30,0,0,0,0,0,0,165
488550,2021-2022,Public,Elementary,0,0,0,0,0,0,35,30,0,0,0,0,65
164852,2021-2022,Public,Elementary,40,45,45,40,35,40,0,0,0,0,0,0,245
247352,2021-2022,Public,Elementary,70,90,90,90,60,65,40,60,0,0,0,0,565
156051,2021-2022,Public,Elementary,15,30,15,20,20,25,0,0,0,0,0,0,125
327445,2021-2022,Public,Elementary,85,90,95,95,80,100,0,0,0,0,0,0,545
530457,2021-2022,Public,Elementary,45,50,60,45,30,40,0,0,0,0,0,0,270
64491,2021-2022,Public,Elementary,0,0,0,0,0,0,30,35,0,0,0,0,65
250627,2021-2022,Public,Elementary,35,40,40,40,40,30,0,0,0,0,0,0,225
156035,2021-2022,Public,Elementary,0,0,0,0,0,0,75,100,0,0,0,0,175
208944,2021-2022,Public,Elementary,30,30,25,20,20,25,0,0,0,0,0,0,150
383392,2021-2022,Public,Elementary,65,80,55,55,60,60,0,0,0,0,0,0,375
195774,2021-2022,Public,Elementary,45,40,45,35,40,45,0,0,0,0,0,0,250
383376,2021-2022,Public,Elementary,10,10,15,10,10,10,10,15,0,0,0,0,90
559458,2021-2022,Public,Elementary,70,65,80,65,65,60,45,30,0,0,0,0,480
590,2021-2022,Public,Elementary,30,30,30,35,30,35,45,40,0,0,0,0,275
890200,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,295,270,275,365,1205
505005,2021-2022,Public,Elementary,15,20,20,20,20,15,0,0,0,0,0,0,110
894109,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,115,100,105,125,445
70661,2021-2022,Public,Elementary,25,15,15,20,10,20,20,10,0,0,0,0,135
73784,2021-2022,Public,Elementary,20,25,30,15,20,15,30,20,0,0,0,0,175
84700,2021-2022,Public,Elementary,20,20,25,20,25,20,35,25,0,0,0,0,190
94978,2021-2022,Public,Elementary,85,95,75,65,60,65,60,70,0,0,0,0,575
105767,2021-2022,Public,Elementary,15,20,25,20,20,25,30,30,0,0,0,0,185
121754,2021-2022,Public,Elementary,45,35,25,40,40,30,40,35,0,0,0,0,290
235750,2021-2022,Public,Elementary,45,45,55,40,40,50,55,45,0,0,0,0,375
547449,2021-2022,Public,Elementary,0,0,0,0,0,40,100,90,0,0,0,0,230
935455,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,70,70,50,45,235
180213,2021-2022,Public,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
131890,2021-2022,Public,Elementary,50,50,50,45,50,55,30,45,0,0,0,0,375
139823,2021-2022,Public,Elementary,15,20,15,25,20,30,30,20,0,0,0,0,175
1793,2021-2022,Public,Elementary,40,40,40,50,45,30,60,40,0,0,0,0,345
156418,2021-2022,Public,Elementary,25,20,25,25,25,20,30,30,0,0,0,0,200
906328,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,185,190,190,220,785
906972,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,115,110,95,115,435
907677,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,270,295,315,285,1165
165956,2021-2022,Public,Elementary,25,30,25,20,20,25,20,30,0,0,0,0,195
195596,2021-2022,Public,Elementary,30,30,25,40,55,35,70,50,0,0,0,0,335
197416,2021-2022,Public,Elementary,35,50,40,40,40,40,45,30,0,0,0,0,320
326785,2021-2022,Public,Elementary,55,75,65,65,95,70,85,80,0,0,0,0,590
207810,2021-2022,Public,Elementary,20,20,20,20,20,25,30,25,0,0,0,0,180
210358,2021-2022,Public,Elementary,50,55,55,45,55,50,60,50,0,0,0,0,420
218600,2021-2022,Public,Elementary,25,15,20,20,25,15,25,30,0,0,0,0,175
201138,2021-2022,Public,Elementary,45,35,40,35,40,45,40,45,0,0,0,0,325
221856,2021-2022,Public,Elementary,50,55,55,70,55,50,55,65,0,0,0,0,455
914010,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,160,170,140,205,675
225754,2021-2022,Public,Elementary,15,15,10,25,10,20,20,20,0,0,0,0,135
226556,2021-2022,Public,Elementary,15,15,25,20,20,25,25,25,0,0,0,0,170
228010,2021-2022,Public,Elementary,40,45,30,45,40,45,35,30,0,0,0,0,310
897646,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,245,220,195,320,980
229520,2021-2022,Public,Elementary,35,40,35,35,30,35,35,30,0,0,0,0,275
914517,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,230,245,205,260,940
294037,2021-2022,Public,Elementary,70,70,60,65,55,65,65,65,0,0,0,0,515
254223,2021-2022,Public,Elementary,20,25,30,20,20,30,30,25,0,0,0,0,200
281000,2021-2022,Public,Elementary,30,30,25,35,35,30,30,30,0,0,0,0,245
281654,2021-2022,Public,Elementary,25,35,45,35,35,20,25,30,0,0,0,0,250
264237,2021-2022,Public,Elementary,75,75,80,70,75,65,70,65,0,0,0,0,575
1649,2021-2022,Public,Elementary,65,60,60,75,50,50,60,60,0,0,0,0,480
283991,2021-2022,Public,Elementary,10,20,15,15,15,15,15,20,0,0,0,0,125
287660,2021-2022,Public,Elementary,60,55,70,55,75,75,60,70,0,0,0,0,520
304921,2021-2022,Public,Elementary,50,30,35,40,30,35,50,50,0,0,0,0,320
921750,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,175,160,155,175,665
922854,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,10,10,175,205
313114,2021-2022,Public,Elementary,30,35,35,35,35,30,35,20,0,0,0,0,255
318086,2021-2022,Public,Elementary,35,40,30,40,40,40,35,45,0,0,0,0,305
344834,2021-2022,Public,Elementary,25,25,20,30,30,30,50,30,0,0,0,0,240
352500,2021-2022,Public,Elementary,30,45,35,45,50,60,60,45,0,0,0,0,370
382868,2021-2022,Public,Elementary,35,20,25,25,30,30,40,50,0,0,0,0,255
414514,2021-2022,Public,Elementary,35,45,40,35,40,55,35,40,0,0,0,0,325
414905,2021-2022,Public,Elementary,15,10,20,20,20,20,20,15,0,0,0,0,140
417521,2021-2022,Public,Elementary,25,30,20,30,25,25,30,25,0,0,0,0,210
419320,2021-2022,Public,Elementary,35,35,30,35,25,35,35,50,0,0,0,0,280
433357,2021-2022,Public,Elementary,15,10,10,20,10,15,0,0,0,0,0,0,80
436747,2021-2022,Public,Elementary,20,30,35,25,35,35,35,35,0,0,0,0,250
557773,2021-2022,Public,Elementary,45,45,50,45,35,35,45,40,0,0,0,0,340
514780,2021-2022,Public,Elementary,35,45,40,30,35,45,45,35,0,0,0,0,310
449350,2021-2022,Public,Elementary,35,40,35,30,45,30,40,25,0,0,0,0,280
935700,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,95,100,110,405
451568,2021-2022,Public,Elementary,30,30,30,40,25,25,40,25,0,0,0,0,245
452084,2021-2022,Public,Elementary,35,25,40,40,40,35,45,45,0,0,0,0,305
455989,2021-2022,Public,Elementary,45,40,35,45,35,45,55,45,0,0,0,0,345
456110,2021-2022,Public,Elementary,60,60,75,65,60,60,55,45,0,0,0,0,480
455202,2021-2022,Public,Elementary,20,35,15,30,20,20,30,35,0,0,0,0,205
455075,2021-2022,Public,Elementary,25,30,20,20,15,30,10,25,0,0,0,0,175
457540,2021-2022,Public,Elementary,50,55,55,40,45,40,60,40,0,0,0,0,385
458066,2021-2022,Public,Elementary,45,35,35,40,45,40,45,35,0,0,0,0,320
461415,2021-2022,Public,Elementary,55,65,55,50,45,55,45,55,0,0,0,0,425
483117,2021-2022,Public,Elementary,55,50,50,50,55,55,65,55,0,0,0,0,435
485365,2021-2022,Public,Elementary,30,35,40,45,25,35,40,35,0,0,0,0,285
491861,2021-2022,Public,Elementary,30,15,25,25,25,15,25,20,0,0,0,0,180
505382,2021-2022,Public,Elementary,35,50,60,45,55,50,55,55,0,0,0,0,405
514748,2021-2022,Public,Elementary,25,15,15,15,20,20,20,15,0,0,0,0,145
942464,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,225,215,230,260,930
517453,2021-2022,Public,Elementary,20,35,35,40,30,30,35,45,0,0,0,0,270
117722,2021-2022,Public,Elementary,35,45,45,45,45,45,40,50,0,0,0,0,350
944157,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,155,115,120,195,585
529648,2021-2022,Public,Elementary,35,40,40,40,40,30,40,35,0,0,0,0,300
945064,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,155,165,140,205,665
535419,2021-2022,Public,Elementary,15,20,15,25,20,15,15,20,0,0,0,0,145
536636,2021-2022,Public,Elementary,35,30,40,35,25,35,40,40,0,0,0,0,280
948055,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,160,155,165,200,680
254519,2021-2022,Public,Elementary,50,55,50,50,50,60,45,55,0,0,0,0,415
569348,2021-2022,Public,Elementary,35,25,30,30,30,25,35,20,0,0,0,0,230
573507,2021-2022,Public,Elementary,10,10,10,10,10,10,0,0,0,0,0,0,60
947180,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,235,225,195,280,935
156841,2021-2022,Public,Elementary,40,40,35,25,35,40,20,30,0,0,0,0,265
598984,2021-2022,Public,Elementary,20,25,25,35,20,30,25,30,0,0,0,0,210
952214,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,155,155,125,190,625
602493,2021-2022,Public,Elementary,15,25,30,15,20,25,25,30,0,0,0,0,185
607436,2021-2022,Public,Elementary,25,30,20,30,15,15,20,30,0,0,0,0,185
510530,2021-2022,Public,Elementary,15,25,20,20,35,25,20,30,0,0,0,0,190
581178,2021-2022,Public,Elementary,20,25,20,20,20,20,10,25,0,0,0,0,160
618870,2021-2022,Public,Elementary,10,15,10,15,10,15,15,15,0,0,0,0,105
45578,2021-2022,Public,Elementary,30,25,25,35,25,20,0,0,0,0,0,0,160
97969,2021-2022,Public,Elementary,40,40,40,35,30,30,0,0,0,0,0,0,215
252018,2021-2022,Public,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
902292,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,45,45,60,50,200
114073,2021-2022,Public,Elementary,30,40,45,40,40,40,35,40,0,0,0,0,310
140210,2021-2022,Public,Elementary,10,15,10,10,10,10,25,15,0,0,0,0,105
282170,2021-2022,Public,Elementary,10,10,10,10,10,10,0,0,0,0,0,0,60
908924,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,45,30,45,155
181552,2021-2022,Public,Elementary,20,25,25,25,30,25,0,0,0,0,0,0,150
619738,2021-2022,Public,Elementary,0,0,0,0,0,0,25,25,0,0,0,0,50
193771,2021-2022,Public,Elementary,15,20,15,20,20,25,0,0,0,0,0,0,115
221554,2021-2022,Public,Elementary,15,25,20,30,25,25,0,0,0,0,0,0,140
916293,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,10,10,10,40
76104,2021-2022,Public,Elementary,20,10,20,20,10,25,0,0,0,0,0,0,105
918288,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,40,30,40,145
600222,2021-2022,Public,Elementary,0,0,0,0,0,0,35,35,0,0,0,0,70
347957,2021-2022,Public,Elementary,20,15,15,20,15,10,0,0,0,0,0,0,95
919063,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,60,45,35,65,205
291048,2021-2022,Public,Elementary,10,10,10,10,10,10,0,0,0,0,0,0,60
296600,2021-2022,Public,Elementary,0,0,0,0,0,0,65,70,0,0,0,0,135
920363,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,80,100,70,125,375
384224,2021-2022,Public,Elementary,65,60,60,50,50,50,0,0,0,0,0,0,335
933287,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,20,40
445061,2021-2022,Public,Elementary,20,25,25,30,15,30,0,0,0,0,0,0,145
468371,2021-2022,Public,Elementary,0,0,0,0,0,0,140,135,0,0,0,0,275
943509,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,80,70,60,80,290
428797,2021-2022,Public,Elementary,0,0,0,0,0,0,75,65,0,0,0,0,140
502030,2021-2022,Public,Elementary,25,30,15,25,25,15,0,0,0,0,0,0,135
519294,2021-2022,Public,Elementary,0,10,10,10,10,10,0,0,0,0,0,0,50
550809,2021-2022,Public,Elementary,10,10,10,10,10,10,0,0,0,0,0,0,60
946940,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,130,115,135,140,520
50571,2021-2022,Public,Elementary,0,0,0,0,0,0,55,65,0,0,0,0,120
270291,2021-2022,Public,Elementary,55,50,50,55,50,35,0,0,0,0,0,0,295
948578,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,150,145,145,195,635
361747,2021-2022,Public,Elementary,35,40,45,60,60,60,0,0,0,0,0,0,300
685461,2021-2022,Catholic,Elementary,60,50,65,45,25,25,30,35,0,0,0,0,335
687308,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,165,160,180,180,685
689556,2021-2022,Catholic,Elementary,45,35,30,60,35,30,30,35,0,0,0,0,300
682438,2021-2022,Catholic,Elementary,30,25,30,25,30,40,30,25,0,0,0,0,235
706418,2021-2022,Catholic,Elementary,30,25,25,65,40,20,50,40,0,0,0,0,295
693715,2021-2022,Catholic,Elementary,35,85,35,40,35,40,35,35,0,0,0,0,340
749813,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,375,410,360,380,1525
850888,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,290,295,325,350,1260
697095,2021-2022,Catholic,Elementary,30,25,25,25,20,30,40,30,0,0,0,0,225
701807,2021-2022,Catholic,Elementary,20,25,75,20,25,20,20,15,0,0,0,0,220
703222,2021-2022,Catholic,Elementary,85,35,50,60,20,30,25,25,0,0,0,0,330
696307,2021-2022,Catholic,Elementary,25,25,30,20,25,30,25,25,0,0,0,0,205
706337,2021-2022,Catholic,Elementary,15,20,60,15,20,15,25,30,0,0,0,0,200
857238,2021-2022,Catholic,Elementary,20,25,15,35,25,25,15,35,0,0,0,0,195
730441,2021-2022,Catholic,Elementary,30,40,40,45,45,60,45,45,0,0,0,0,350
706957,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,255,260,240,335,1090
708038,2021-2022,Catholic,Elementary,25,25,25,30,20,30,25,75,0,0,0,0,255
708070,2021-2022,Catholic,Elementary,25,25,30,50,50,20,30,35,0,0,0,0,265
708143,2021-2022,Catholic,Elementary,55,30,40,30,30,20,85,40,0,0,0,0,330
714909,2021-2022,Catholic,Elementary,45,70,50,45,40,40,40,65,0,0,0,0,395
716405,2021-2022,Catholic,Elementary,25,30,20,25,50,60,50,50,0,0,0,0,310
718114,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,145,175,135,155,610
819219,2021-2022,Catholic,Elementary,25,30,30,20,25,25,85,25,0,0,0,0,265
722790,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,150,140,140,200,630
724564,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,170,165,165,170,670
726494,2021-2022,Catholic,Elementary,35,30,30,40,50,40,40,45,0,0,0,0,310
798118,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,230,285,275,305,1095
730742,2021-2022,Catholic,Elementary,20,40,25,20,25,55,15,30,0,0,0,0,230
731447,2021-2022,Catholic,Elementary,40,45,45,40,40,45,60,50,0,0,0,0,365
690694,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,360,380,340,410,1490
742171,2021-2022,Catholic,Elementary,20,20,25,25,30,20,20,30,0,0,0,0,190
742821,2021-2022,Catholic,Elementary,10,10,10,45,15,10,10,15,0,0,0,0,125
782606,2021-2022,Catholic,Elementary,10,15,15,75,70,20,35,20,0,0,0,0,260
747440,2021-2022,Catholic,Elementary,10,10,15,10,60,30,35,25,0,0,0,0,195
742333,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,275,275,345,400,1295
749087,2021-2022,Catholic,Elementary,30,35,20,30,35,30,25,25,0,0,0,0,230
747882,2021-2022,Catholic,Elementary,55,50,55,50,50,60,55,55,0,0,0,0,430
750042,2021-2022,Catholic,Elementary,10,15,10,15,10,10,40,15,0,0,0,0,125
751430,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,265,285,270,300,1120
752029,2021-2022,Catholic,Elementary,40,30,40,30,35,35,35,45,0,0,0,0,290
753211,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,345,315,290,280,1230
867942,2021-2022,Catholic,Elementary,30,75,25,25,20,25,20,25,0,0,0,0,245
759481,2021-2022,Catholic,Elementary,60,30,20,35,40,30,50,45,0,0,0,0,310
770434,2021-2022,Catholic,Elementary,35,25,30,45,30,35,30,25,0,0,0,0,255
766364,2021-2022,Catholic,Elementary,55,35,45,55,35,55,50,45,0,0,0,0,375
759562,2021-2022,Catholic,Elementary,35,25,35,40,35,30,35,35,0,0,0,0,270
767255,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,405,415,445,480,1745
772496,2021-2022,Catholic,Elementary,50,35,45,45,50,60,55,60,0,0,0,0,400
770620,2021-2022,Catholic,Elementary,45,50,55,70,30,30,25,40,0,0,0,0,345
771759,2021-2022,Catholic,Elementary,25,35,30,40,45,60,70,55,0,0,0,0,360
773530,2021-2022,Catholic,Elementary,25,30,25,30,30,25,30,40,0,0,0,0,235
775606,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,245,245,210,295,995
776092,2021-2022,Catholic,Elementary,35,20,25,30,20,30,20,20,0,0,0,0,200
776742,2021-2022,Catholic,Elementary,40,55,55,55,50,55,50,50,0,0,0,0,410
777528,2021-2022,Catholic,Elementary,20,25,25,40,30,25,20,25,0,0,0,0,210
780804,2021-2022,Catholic,Elementary,20,50,25,20,20,15,25,20,0,0,0,0,195
781401,2021-2022,Catholic,Elementary,40,45,45,35,50,40,40,45,0,0,0,0,340
781819,2021-2022,Catholic,Elementary,20,25,20,25,35,40,40,45,0,0,0,0,250
783870,2021-2022,Catholic,Elementary,40,35,55,35,50,85,40,55,0,0,0,0,395
784290,2021-2022,Catholic,Elementary,35,45,30,25,20,25,30,20,0,0,0,0,230
785393,2021-2022,Catholic,Elementary,65,45,55,70,55,70,65,75,0,0,0,0,500
785997,2021-2022,Catholic,Elementary,20,10,25,20,65,25,20,15,0,0,0,0,200
786730,2021-2022,Catholic,Elementary,25,30,40,25,30,25,25,25,0,0,0,0,225
690031,2021-2022,Catholic,Elementary,25,45,25,25,20,25,25,25,0,0,0,0,215
788511,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,470,455,435,450,1810
787647,2021-2022,Catholic,Elementary,35,45,45,35,35,25,30,35,0,0,0,0,285
789143,2021-2022,Catholic,Elementary,40,45,45,45,15,25,15,25,0,0,0,0,255
789763,2021-2022,Catholic,Elementary,25,35,15,20,35,25,35,35,0,0,0,0,225
792586,2021-2022,Catholic,Elementary,55,55,40,50,45,30,45,45,0,0,0,0,365
792594,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,470,455,440,485,1850
792020,2021-2022,Catholic,Elementary,40,45,60,45,60,55,40,45,0,0,0,0,390
794791,2021-2022,Catholic,Elementary,15,25,25,25,20,20,30,25,0,0,0,0,185
795852,2021-2022,Catholic,Elementary,55,55,55,65,55,100,50,55,0,0,0,0,490
796468,2021-2022,Catholic,Elementary,30,25,30,20,20,20,15,20,0,0,0,0,180
797316,2021-2022,Catholic,Elementary,30,20,25,35,25,30,50,45,0,0,0,0,260
797278,2021-2022,Catholic,Elementary,15,20,20,25,35,20,35,25,0,0,0,0,195
798274,2021-2022,Catholic,Elementary,35,35,55,70,25,40,80,45,0,0,0,0,385
800465,2021-2022,Catholic,Elementary,25,25,15,30,50,50,50,55,0,0,0,0,300
801100,2021-2022,Catholic,Elementary,25,30,20,30,20,25,20,20,0,0,0,0,190
801178,2021-2022,Catholic,Elementary,65,75,70,55,55,50,55,60,0,0,0,0,485
690708,2021-2022,Catholic,Elementary,70,15,20,20,35,25,35,35,0,0,0,0,255
803502,2021-2022,Catholic,Elementary,35,45,40,40,30,40,35,35,0,0,0,0,300
801577,2021-2022,Catholic,Elementary,30,30,50,20,40,25,30,25,0,0,0,0,250
